system_ts_ms, sensor_ts_ns, accX, accY, accZ
1680000639582,1180627937862548,3.2380502,3.213,9.11505
1680000639584,1180627940364471,3.2980502,3.1960502,9.07905
1680000639589,1180627942866548,3.28395,3.1650002,9.085951
1680000639591,1180627945368394,3.2329502,3.0670502,9.120001
1680000639592,1180627947870321,3.28095,3.17895,9.07905
1680000639595,1180627950372398,3.1900501,3.1260002,9.13395
1680000639597,1180627952874552,3.25305,3.1720502,9.073951
1680000639602,1180627955376475,3.1380002,3.141,9.05805
1680000639603,1180627957878562,3.21,3.114,9.156
1680000639604,1180627960380485,3.1660502,3.1189501,9.144
1680000639609,1180627962882562,3.1980002,3.1240501,9.09795
1680000639611,1180627965384408,3.0870001,3.1600502,9.09105
1680000639612,1180627967886562,3.25005,3.1240501,9.12705
1680000639615,1180627970388504,3.147,3.078,9.031051
1680000639618,1180627972890581,3.2020502,3.1309502,9.073951
1680000639620,1180627975392427,3.15405,3.153,9.06
1680000639622,1180627977894581,3.1690502,3.1669502,9.12705
1680000639626,1180627980396471,3.1999502,3.1020002,9.028951
1680000639628,1180627982898548,3.2410502,3.1600502,9.11295
1680000639637,1180627985400471,3.17595,3.17895,9.096001
1680000639637,1180627987902548,3.2020502,3.117,9.1060505
1680000639637,1180627990404461,3.1980002,3.1720502,9.09105
1680000639640,1180627992906615,3.1570501,3.1549501,9.055051
1680000639641,1180627995408461,3.186,3.1890001,9.061951
1680000639642,1180627997910538,3.2020502,3.186,8.986051
1680000639644,1180628000412461,3.1710002,3.1600502,9.13395
1680000639647,1180628002914552,3.2929502,3.1360502,9.049951
1680000639649,1180628005416475,3.2329502,3.282,9.07905
1680000639652,1180628007918552,3.25305,3.1360502,9.132
1680000639655,1180628010420706,3.15405,3.2320502,9.07005
1680000639658,1180628012922581,3.1980002,3.1890001,9.036
1680000639660,1180628015424504,3.2050502,3.18405,9.036
1680000639662,1180628017926581,3.1660502,3.1219501,9.048
1680000639673,1180628020428474,3.2020502,3.22005,9.073951
1680000639673,1180628022930551,3.17595,3.2029502,8.99295
1680000639673,1180628025432705,3.11595,3.1930501,9.13395
1680000639673,1180628027934628,3.2239501,3.2010002,9.11295
1680000639676,1180628030436734,3.24495,3.1930501,9.160951
1680000639680,1180628032938580,3.11805,3.213,9.117001
1680000639680,1180628035440503,3.1210501,3.213,9.052951
1680000639682,1180628037942580,3.1639502,3.1930501,9.108001
1680000639685,1180628040444503,3.2599502,3.18105,9.049951
1680000639687,1180628042946580,3.1020002,3.2080503,9.108001
1680000639690,1180628045448503,3.1020002,3.21495,9.061951
1680000639692,1180628047950580,3.1570501,3.2410502,9.085951
1680000639695,1180628050452503,3.1519501,3.15,9.06
1680000639698,1180628052954585,3.17595,3.1909502,9.07695
1680000639700,1180628055456508,3.17805,3.22005,9.061951
1680000639702,1180628057958662,3.10905,3.2220001,9.12705
1680000639705,1180628060460508,3.15,3.2650502,9.06705
1680000639709,1180628062962585,3.147,3.246,9.08895
1680000639709,1180628065464503,3.1879501,3.2719502,9.096001
1680000639713,1180628067966580,3.2050502,3.2370002,9.120001
1680000639716,1180628070468503,3.15405,3.25095,9.08205
1680000639718,1180628072970657,3.21705,3.1960502,9.052951
1680000639720,1180628075472715,3.11805,3.117,9.201
1680000639722,1180628077974638,3.14505,3.1930501,9.055051
1680000639725,1180628080476484,3.0679502,3.246,9.11295
1680000639728,1180628082978561,3.1210501,3.3439503,9.073951
1680000639730,1180628085480484,3.0919502,3.2220001,9.10305
1680000639732,1180628087982556,3.075,3.18405,9.165
1680000639735,1180628090484710,3.1380002,3.1890001,9.07005
1680000639738,1180628092986633,3.1690502,3.2719502,9.096001
1680000639740,1180628095488710,3.13995,3.249,9.08205
1680000639742,1180628097990619,3.13995,3.3130503,9.0720005
1680000639746,1180628100492465,3.1420503,3.2650502,8.964001
1680000639748,1180628102994542,3.1380002,3.249,9.153001
1680000639751,1180628105496696,3.1639502,3.2440503,9.1060505
1680000639753,1180628107998618,3.10695,3.25305,9.048
1680000639755,1180628110500695,3.2050502,3.2749503,9.048
1680000639757,1180628113002618,3.0990002,3.2050502,9.0379505
1680000639760,1180628115504695,3.1519501,3.2700002,9.015
1680000639762,1180628118006541,3.0919502,3.1669502,9.129001
1680000639766,1180628120508464,3.186,3.1549501,9.055051
1680000639768,1180628123010618,3.1620002,3.1890001,9.11295
1680000639770,1180628125512695,3.17595,3.0880501,9.129001
1680000639772,1180628128014618,3.0010502,3.1620002,9.10995
1680000639775,1180628130516695,3.04905,3.1309502,9.151051
1680000639778,1180628133018628,3.15,3.1650002,9.132
1680000639780,1180628135520705,3.08295,3.1020002,9.003
1680000639782,1180628138022628,3.10905,3.1260002,9.10095
1680000639786,1180628140524705,3.14505,3.2080503,8.991
1680000639790,1180628143026599,3.17805,3.15,9.11505
1680000639791,1180628145528676,3.0900002,3.1240501,9.11505
1680000639793,1180628148030830,3.13995,3.1980002,8.98095
1680000639795,1180628150532753,3.2050502,3.25605,9.177
1680000639798,1180628153034618,3.1879501,3.17895,9.117001
1680000639800,1180628155536695,3.10695,3.153,9.117001
1680000639802,1180628158038618,3.11595,3.1600502,9.1369505
1680000639805,1180628160540695,3.0589502,3.2050502,8.967
1680000639808,1180628163042580,3.1350002,3.1579502,9.10995
1680000639810,1180628165544734,3.17595,3.2250001,9.07005
1680000639812,1180628168046580,3.1300502,3.1219501,9.10995
1680000639816,1180628170548657,3.1570501,3.14295,9.201
1680000639818,1180628173050565,3.13995,3.07395,9.141001
1680000639820,1180628175552642,3.1620002,3.1930501,9.016951
1680000639822,1180628178054565,3.1039503,3.1669502,8.93295
1680000639827,1180628180556642,3.1210501,3.07095,9.055051
1680000639829,1180628183058536,3.0919502,3.081,8.979
1680000639831,1180628185560613,3.042,3.0949502,9.049951
1680000639833,1180628188062536,3.10905,3.0690002,9.09405
1680000639835,1180628190564613,3.08505,3.1260002,9.0
1680000639837,1180628193066536,2.9890501,3.1669502,9.040951
1680000639840,1180628195568706,3.08295,3.1669502,9.043051
1680000639842,1180628198070783,3.0540001,3.1240501,9.0070505
1680000639846,1180628200572629,3.0559502,3.117,9.153001
1680000639848,1180628203074552,3.0559502,3.15,9.11505
1680000639852,1180628205576633,3.0180001,3.0880501,9.0070505
1680000639854,1180628208078556,2.97195,3.17895,9.108001
1680000639855,1180628210580633,3.07995,3.1309502,8.96205
1680000639858,1180628213082787,3.0990002,3.2389503,9.13395
1680000639860,1180628215584710,3.07995,3.1309502,9.024
1680000639864,1180628218086556,3.13995,3.1600502,9.084001
1680000639866,1180628220588633,3.042,3.1720502,9.08895
1680000639869,1180628223090556,3.15,3.07395,9.11505
1680000639874,1180628225592609,3.0270002,3.0859501,9.10095
1680000639874,1180628228094763,3.0559502,3.1240501,9.14595
1680000639876,1180628230596686,3.051,3.1380002,9.0379505
1680000639878,1180628233098763,3.07095,3.114,9.120001
1680000639880,1180628235600686,3.1710002,3.045,9.096001
1680000639882,1180628238102528,2.9890501,3.1360502,9.18
1680000639886,1180628240604605,3.114,3.14295,8.955001
1680000639888,1180628243106528,3.1230001,3.14595,9.036
1680000639891,1180628245608682,2.9959502,3.2220001,9.07005
1680000639892,1180628248110759,3.07995,3.078,8.99295
1680000639898,1180628250612720,3.0730503,3.153,9.024
1680000639899,1180628253114797,3.0270002,3.22005,9.040951
1680000639901,1180628255616720,3.04905,3.18405,9.040951
1680000639903,1180628258118595,2.9869502,3.2290502,9.040951
1680000639907,1180628260620749,3.0349503,3.153,8.991
1680000639908,1180628263122826,2.97495,3.153,8.99505
1680000639910,1180628265624749,2.90505,3.177,8.919001
1680000639912,1180628268126826,3.0180001,3.18405,8.916
1680000639916,1180628270628763,2.9170501,3.177,8.99505
1680000639918,1180628273130840,2.9580002,3.15,8.95695
1680000639920,1180628275632686,2.9650502,3.1669502,9.052951
1680000639922,1180628278134840,3.01095,3.2719502,8.96895
1680000639925,1180628280636773,2.9269502,3.1909502,8.94495
1680000639927,1180628283138850,2.9290502,3.1020002,8.97105
1680000639930,1180628285640773,3.01605,3.081,9.108001
1680000639932,1180628288142850,2.9530501,3.0979502,8.9740505
1680000639935,1180628290644773,2.94105,3.1240501,9.07695
1680000639941,1180628293146927,2.97705,3.1650002,9.1060505
1680000639941,1180628295648773,2.9680502,3.10695,9.108001
1680000639943,1180628298150850,2.9839501,3.0690002,9.06
1680000639946,1180628300652773,2.9890501,3.0259502,9.049951
1680000639948,1180628303154850,3.0610502,3.1260002,9.08895
1680000639950,1180628305656773,2.90505,3.117,9.12195
1680000639952,1180628308158927,3.0370502,3.17895,9.07695
1680000639956,1180628310661004,2.9479501,3.081,9.052951
1680000639957,1180628313162946,3.0679502,3.05205,9.019051
1680000639960,1180628315664792,3.0270002,3.141,9.05805
1680000639962,1180628318166946,3.0349503,3.0949502,9.031051
1680000639966,1180628320668792,2.90805,3.0949502,9.010051
1680000639968,1180628323170946,2.93895,3.1549501,9.120001
1680000639970,1180628325672792,2.9200501,3.0229502,8.98305
1680000639972,1180628328174869,3.0180001,3.00195,9.0720005
1680000639977,1180628330676840,2.90505,3.009,9.07005
1680000639980,1180628333178686,2.946,3.03795,9.028951
1680000639981,1180628335680840,3.08295,3.0310502,9.016951
1680000639983,1180628338182917,2.97,3.0349503,9.108001
1680000639986,1180628340684840,3.00795,3.08295,9.0720005
1680000639988,1180628343186917,2.9890501,3.0949502,8.9740505
1680000639990,1180628345688840,2.97705,3.1000502,8.94495
1680000639992,1180628348190917,2.9629502,3.081,9.144
1680000639996,1180628350693071,3.042,3.14295,9.11295
1680000639998,1180628353194917,2.9530501,3.0499501,8.95005
1680000640000,1180628355696826,2.9530501,3.1309502,9.015
1680000640003,1180628358198903,2.9560502,3.1219501,9.004951
1680000640006,1180628360700826,2.9890501,3.078,9.019051
1680000640008,1180628363202903,2.9920502,3.1290002,9.08895
1680000640010,1180628365704826,2.9839501,3.05205,9.07905
1680000640014,1180628368206974,2.97195,3.1000502,9.052951
1680000640016,1180628370709051,2.9560502,3.00705,9.052951
1680000640019,1180628373210897,3.01605,3.14295,9.10095
1680000640021,1180628375712810,2.9680502,3.0880501,8.91195
1680000640022,1180628378214887,3.0370502,3.0670502,8.988001
1680000640026,1180628380716810,2.9650502,3.1339502,8.991
1680000640028,1180628383218964,2.98005,3.1020002,8.96205
1680000640030,1180628385721041,3.0040503,3.1260002,9.015
1680000640032,1180628388222945,2.98005,3.1309502,8.9740505
1680000640036,1180628390724791,3.0559502,3.10695,9.02595
1680000640037,1180628393226868,2.9509501,3.11205,9.036
1680000640040,1180628395728791,2.9989502,3.1020002,9.048
1680000640042,1180628398230887,3.0900002,3.0280502,9.019051
1680000640047,1180628400733041,2.97705,3.04305,9.07695
1680000640048,1180628403234964,3.0730503,3.0210001,9.010051
1680000640051,1180628405737041,2.9200501,3.1579502,9.036
1680000640053,1180628408238988,2.93895,3.1000502,9.055051
1680000640056,1180628410740834,3.006,3.1650002,8.976001
1680000640058,1180628413242911,2.9989502,3.0930002,8.90205
1680000640060,1180628415745065,2.9839501,3.1339502,8.964001
1680000640062,1180628418246988,2.94105,3.0900002,9.07905
1680000640066,1180628420749061,2.9340003,3.14805,9.117001
1680000640068,1180628423250984,3.114,3.0589502,9.0720005
1680000640070,1180628425753061,2.97705,3.153,9.085951
1680000640073,1180628428254984,2.93595,3.1050003,9.10995
1680000640076,1180628430757061,3.042,3.07395,9.06705
1680000640078,1180628433258988,3.0540001,3.1050003,9.031051
1680000640080,1180628435761065,3.006,3.0619502,9.016951
1680000640082,1180628438262988,2.9989502,3.0210001,9.049951
1680000640086,1180628440765065,2.9920502,3.07605,9.049951
1680000640089,1180628443266988,3.078,3.1339502,9.019051
1680000640091,1180628445769065,3.08295,3.0229502,9.07005
1680000640092,1180628448270988,3.078,3.081,8.991
1680000640096,1180628450773065,3.0559502,3.0690002,9.13395
1680000640099,1180628453274964,3.01305,3.01605,9.12705
1680000640100,1180628455777041,3.1420503,3.0589502,9.052951
1680000640102,1180628458278964,3.0730503,3.0949502,9.084001
1680000640106,1180628460781041,3.1639502,3.0880501,9.175051
1680000640107,1180628463283200,3.1020002,3.1650002,9.049951
1680000640110,1180628465785123,3.07995,3.0499501,9.049951
1680000640112,1180628468286969,2.9509501,3.045,9.084001
1680000640116,1180628470789046,3.01605,3.05205,9.1369505
1680000640118,1180628473290955,2.982,3.0190501,9.199051
1680000640120,1180628475793032,3.04395,3.1620002,9.1369505
1680000640122,1180628478294955,3.01305,3.08295,9.031051
1680000640127,1180628480797109,3.0730503,3.081,9.108001
1680000640129,1180628483299167,3.006,3.25605,9.022051
1680000640132,1180628485801013,3.04395,3.114,9.06705
1680000640133,1180628488302936,2.913,3.1549501,9.061951
1680000640136,1180628490805090,3.0730503,3.1720502,9.15795
1680000640138,1180628493307167,3.00795,3.0349503,9.189
1680000640141,1180628495809076,3.11805,3.2029502,9.07905
1680000640142,1180628498311153,3.051,3.1620002,9.08205
1680000640146,1180628500812999,3.1380002,3.1720502,9.096001
1680000640148,1180628503314923,3.0180001,3.153,9.03405
1680000640150,1180628505817076,3.1230001,3.10695,9.061951
1680000640152,1180628508319124,3.1260002,3.15,9.048
1680000640156,1180628510821047,3.2310002,3.1579502,9.040951
1680000640157,1180628513323124,3.075,3.1930501,9.1060505
1680000640160,1180628515825047,3.0730503,3.14595,9.177
1680000640164,1180628518327124,3.1020002,3.0949502,9.12495
1680000640167,1180628520828970,3.1230001,3.1360502,9.055051
1680000640169,1180628523331124,3.0559502,3.081,9.148951
1680000640171,1180628525833066,3.10905,3.1600502,9.07905
1680000640176,1180628528335143,3.0870001,3.153,9.12195
1680000640177,1180628530837066,2.9530501,3.0619502,9.09105
1680000640179,1180628533339143,3.039,3.2080503,9.120001
1680000640180,1180628535841066,3.0630002,3.21,9.08895
1680000640183,1180628538343210,3.0589502,3.1720502,9.028951
1680000640186,1180628540845056,2.9959502,3.1549501,9.11505
1680000640188,1180628543347133,3.0370502,3.2680502,9.08205
1680000640190,1180628545849056,3.0229502,3.1890001,9.022051
1680000640192,1180628548351133,3.0180001,3.213,9.052951
1680000640196,1180628550853060,3.01605,3.2389503,8.95695
1680000640197,1180628553355214,2.9940002,3.213,9.004951
1680000640201,1180628555857291,3.0229502,3.2389503,9.08895
1680000640203,1180628558359171,3.1300502,3.2050502,9.132
1680000640206,1180628560861094,3.0270002,3.2440503,9.036
1680000640209,1180628563363171,3.0949502,3.2050502,8.998051
1680000640210,1180628565865094,3.0250502,3.117,9.108001
1680000640212,1180628568367171,3.01605,3.186,8.964001
1680000640216,1180628570869320,3.0250502,3.2320502,9.08205
1680000640218,1180628573371243,3.0040503,3.2029502,9.117001
1680000640220,1180628575873320,3.0589502,3.1890001,9.06
1680000640223,1180628578375166,3.078,3.1720502,8.998051
1680000640226,1180628580877080,3.006,3.21705,9.06495
1680000640228,1180628583379156,3.0589502,3.3040502,9.019051
1680000640230,1180628585881310,3.14505,3.2290502,8.93505
1680000640234,1180628588383233,3.0559502,3.1360502,9.02595
1680000640236,1180628590885325,3.051,3.2080503,8.931001
1680000640240,1180628593387248,3.1020002,3.25605,9.14595
1680000640241,1180628595889325,3.0919502,3.2410502,9.048
1680000640243,1180628598391171,3.08505,3.3130503,9.0379505
