system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680007950221,1187938576122392,0.461,0.322,0.185
1680007950224,1187938578624546,0.465,0.318,0.202
1680007950227,1187938581126729,0.374,0.218,0.151
1680007950229,1187938583628883,0.446,0.35,0.223
1680007950232,1187938586131036,0.423,0.319,0.226
1680007950235,1187938588633190,0.387,0.246,0.202
1680007950238,1187938591135267,0.334,0.379,0.099
1680007950240,1187938593637498,0.365,0.334,0.103
1680007950242,1187938596139652,0.205,0.262,0.27
1680007950243,1187938598641806,0.277,0.312,0.11
1680007950247,1187938601143902,0.226,0.322,0.291
1680007950249,1187938603646055,0.148,0.359,0.09
1680007950251,1187938606148209,0.206,0.355,0.149
1680007950254,1187938608650440,0.237,0.338,0.152
1680007950257,1187938611152613,0.24,0.416,0.129
1680007950259,1187938613654690,0.216,0.398,0.215
1680007950261,1187938616156844,0.26,0.313,0.055
1680007950264,1187938618658998,0.208,0.377,0.318
1680007950267,1187938621161151,0.211,0.306,0.132
1680007950269,1187938623663305,0.228,0.329,0.232
1680007950275,1187938626165536,0.218,0.313,0.219
1680007950276,1187938628667613,0.275,0.391,0.183
1680007950278,1187938631169762,0.196,0.21,0.269
1680007950280,1187938633671916,0.213,0.234,0.123
1680007950282,1187938636174070,0.379,0.339,0.291
1680007950283,1187938638675993,0.355,0.213,0.119
1680007950288,1187938641178377,0.344,0.209,0.355
1680007950289,1187938643680531,0.343,0.236,0.18
1680007950291,1187938646182685,0.4,0.219,0.32
1680007950295,1187938648684839,0.376,0.216,0.352
1680007950297,1187938651186993,0.406,0.294,0.342
1680007950299,1187938653689156,0.328,0.195,0.373
1680007950301,1187938656191387,0.318,0.164,0.35
1680007950305,1187938658693464,0.349,0.173,0.258
1680007950307,1187938661195618,0.334,0.094,0.349
1680007950313,1187938663697748,0.432,0.105,0.502
1680007950313,1187938666199902,0.449,0.183,0.382
1680007950315,1187938668701825,0.385,0.166,0.508
1680007950319,1187938671203979,0.471,0.135,0.402
1680007950321,1187938673706372,0.488,0.049,0.46
1680007950323,1187938676208526,0.506,0.114,0.462
1680007950325,1187938678710680,0.581,0.081,0.547
1680007950328,1187938681212834,0.489,0.201,0.467
1680007950330,1187938683714757,0.562,0.088,0.401
1680007950332,1187938686216921,0.471,0.084,0.499
1680007950334,1187938688719305,0.543,0.081,0.433
1680007950337,1187938691221459,0.466,0.077,0.408
1680007950339,1187938693723613,0.443,0.114,0.45
1680007950342,1187938696225536,0.546,0.012,0.402
1680007950344,1187938698727671,0.467,0.064,0.539
1680007950349,1187938701229825,0.513,0.061,0.376
1680007950351,1187938703731979,0.545,0.084,0.541
1680007950354,1187938706234166,0.509,0.149,0.502
1680007950355,1187938708736319,0.391,0.131,0.435
1680007950357,1187938711238473,0.396,0.087,0.381
1680007950359,1187938713740627,0.448,0.146,0.374
1680007950361,1187938716242781,0.466,0.157,0.51
1680007950364,1187938718744935,0.376,0.099,0.306
1680007950367,1187938721247339,0.394,0.204,0.402
1680007950370,1187938723749263,0.345,0.078,0.361
1680007950373,1187938726251416,0.295,0.184,0.457
1680007950374,1187938728753570,0.327,0.249,0.416
1680007950377,1187938731255719,0.342,0.196,0.381
1680007950379,1187938733757796,0.306,0.275,0.285
1680007950381,1187938736259950,0.297,0.218,0.325
