system_ts_ms, sensor_ts_ns, magXr, magYr, magZr, magDXr, magDYr, magDZr
1680013659923,1193648277857923,-13.500001,-74.8125,-244.14375,9.35,-61.32,-216.36
1680013659933,1193648287852802,-13.81875,-74.943756,-244.14375,9.35,-61.32,-216.36
1680013659942,1193648297854989,-14.118751,-75.1125,-244.14375,9.35,-61.32,-216.36
1680013659953,1193648307857147,-13.81875,-74.943756,-244.31252,9.35,-61.32,-216.36
1680013659963,1193648317883772,-13.500001,-74.8125,-244.44376,9.35,-61.32,-216.36
1680013659973,1193648327885512,-13.63125,-74.943756,-244.68752,9.35,-61.32,-216.36
1680013659982,1193648337887646,-13.687501,-75.1125,-244.9125,9.35,-61.32,-216.36
1680013659993,1193648347882159,-13.743751,-75.1125,-244.6125,9.35,-61.32,-216.36
1680013660003,1193648357887832,-13.81875,-75.1125,-244.31252,9.35,-61.32,-216.36
1680013660013,1193648367882366,-13.63125,-75.24375,-244.44376,9.35,-61.32,-216.36
1680013660022,1193648377884514,-13.387501,-75.412506,-244.6125,9.35,-61.32,-216.36
1680013660035,1193648387886633,-13.44375,-75.412506,-244.6125,9.35,-61.32,-216.36
1680013660044,1193648397885229,-13.500001,-75.412506,-244.6125,9.35,-61.32,-216.36
1680013660053,1193648407887325,-13.63125,-75.4875,-244.44376,9.35,-61.32,-216.36
1680013660062,1193648417881835,-13.687501,-75.525,-244.31252,9.35,-61.32,-216.36
1680013660072,1193648427883975,-13.687501,-75.4875,-244.55626,9.35,-61.32,-216.36
1680013660084,1193648437886129,-13.687501,-75.412506,-244.74376,9.35,-61.32,-216.36
1680013660093,1193648447880080,-13.931251,-75.356255,-244.9875,9.35,-61.32,-216.36
1680013660103,1193648457883681,-14.118751,-75.24375,-245.21251,9.35,-61.32,-216.36
1680013660113,1193648467887618,-14.118751,-75.1875,-245.51251,9.35,-61.32,-216.36
1680013660123,1193648477882152,-14.118751,-75.1125,-245.81252,9.35,-61.32,-216.36
1680013660134,1193648487899382,-13.9875,-74.8125,-245.94376,9.35,-61.32,-216.36
1680013660142,1193648497900011,-13.81875,-74.512505,-246.1125,9.35,-61.32,-216.36
1680013660153,1193648507907823,-13.687501,-74.8125,-245.86876,9.35,-61.32,-216.36
1680013660163,1193648517894515,-13.500001,-75.1125,-245.64375,9.35,-61.32,-216.36
1680013660173,1193648527903866,-13.33125,-74.943756,-245.34377,9.35,-61.32,-216.36
1680013660185,1193648537898341,-13.087501,-74.943756,-245.2875,9.35,-61.32,-216.36
1680013660204,1193648547885350,-13.087501,-75.24375,-245.04376,9.35,-61.32,-216.36
1680013660206,1193648557870888,-13.087501,-75.4875,-244.9875,9.35,-61.32,-216.36
1680013660212,1193648567860349,-13.14375,-75.65625,-245.21251,9.35,-61.32,-216.36
1680013660223,1193648577864979,-13.387501,-75.787506,-244.9875,9.35,-61.32,-216.36
1680013660234,1193648587859531,-13.687501,-75.7125,-244.9125,9.35,-61.32,-216.36
1680013660243,1193648597892603,-13.9875,-75.65625,-244.85626,9.35,-61.32,-216.36
1680013660253,1193648607894559,-14.043751,-75.65625,-244.85626,9.35,-61.32,-216.36
1680013660263,1193648617894212,-14.231251,-75.787506,-244.55626,9.35,-61.32,-216.36
1680013660273,1193648627883049,-14.343751,-75.95625,-244.25626,9.35,-61.32,-216.36
1680013660283,1193648637886678,-14.531251,-76.14375,-243.7875,9.35,-61.32,-216.36
1680013660293,1193648647879999,-14.418751,-76.14375,-243.54376,9.35,-61.32,-216.36
1680013660303,1193648657847840,-14.231251,-76.256256,-243.65627,9.35,-61.32,-216.36
1680013660312,1193648667863397,-13.9875,-76.3125,-243.71251,9.35,-61.32,-216.36
1680013660324,1193648677831709,-13.81875,-76.387505,-243.65627,9.35,-61.32,-216.36
1680013660333,1193648687833863,-13.743751,-76.55625,-243.4875,9.35,-61.32,-216.36
1680013660345,1193648697862926,-13.687501,-76.387505,-243.4125,9.35,-61.32,-216.36
1680013660353,1193648707865003,-13.63125,-76.256256,-243.35626,9.35,-61.32,-216.36
1680013660363,1193648717892916,-13.81875,-76.256256,-243.18752,9.35,-61.32,-216.36
1680013660373,1193648727859377,-14.2875,-76.443756,-242.81252,9.35,-61.32,-216.36
1680013660383,1193648737829838,-14.587501,-76.387505,-242.64375,9.35,-61.32,-216.36
1680013660393,1193648747799376,-14.887501,-76.3125,-242.51251,9.35,-61.32,-216.36
1680013660403,1193648757766467,-15.13125,-76.443756,-242.58751,9.35,-61.32,-216.36
1680013660412,1193648767764116,-15.31875,-76.6125,-242.64375,9.35,-61.32,-216.36
1680013660423,1193648777763692,-15.31875,-76.6125,-242.81252,9.35,-61.32,-216.36
1680013660434,1193648787764134,-15.31875,-76.6125,-242.94376,9.35,-61.32,-216.36
1680013660443,1193648797787643,-15.13125,-76.74375,-243.1125,9.35,-61.32,-216.36
1680013660453,1193648807790705,-14.887501,-76.912506,-243.24376,9.35,-61.32,-216.36
1680013660463,1193648817812301,-14.887501,-76.6125,-243.54376,9.35,-61.32,-216.36
1680013660472,1193648827832007,-14.887501,-76.3125,-243.84377,9.35,-61.32,-216.36
1680013660483,1193648837823882,-14.887501,-75.84375,-244.01251,9.35,-61.32,-216.36
1680013660494,1193648847841219,-14.887501,-75.412506,-244.14375,9.35,-61.32,-216.36
1680013660503,1193648857842296,-15.000001,-75.4875,-243.84377,9.35,-61.32,-216.36
1680013660514,1193648867844041,-15.187501,-75.525,-243.54376,9.35,-61.32,-216.36
1680013660523,1193648877847035,-15.243751,-75.4875,-243.1125,9.35,-61.32,-216.36
1680013660534,1193648887857963,-15.31875,-75.412506,-242.64375,9.35,-61.32,-216.36
1680013660543,1193648897835208,-15.13125,-75.787506,-242.15627,9.35,-61.32,-216.36
1680013660552,1193648907818299,-14.887501,-76.14375,-241.6125,9.35,-61.32,-216.36
1680013660563,1193648917799626,-14.94375,-76.55625,-241.14375,9.35,-61.32,-216.36
1680013660573,1193648927771958,-15.000001,-76.912506,-240.71251,9.35,-61.32,-216.36
1680013660584,1193648937773404,-15.13125,-76.6125,-240.4875,9.35,-61.32,-216.36
1680013660593,1193648947768159,-15.187501,-76.3125,-240.24376,9.35,-61.32,-216.36
1680013660603,1193648957793034,-15.31875,-76.14375,-240.35626,9.35,-61.32,-216.36
1680013660613,1193648967798745,-15.4875,-76.012505,-240.4125,9.35,-61.32,-216.36
1680013660623,1193648977812557,-15.843751,-76.14375,-240.35626,9.35,-61.32,-216.36
1680013660634,1193648987828922,-16.21875,-76.3125,-240.24376,9.35,-61.32,-216.36
1680013660645,1193648997816643,-16.3875,-76.443756,-240.18752,9.35,-61.32,-216.36
1680013660653,1193649007832162,-16.5,-76.6125,-240.1125,9.35,-61.32,-216.36
1680013660664,1193649017842994,-16.331251,-76.856255,-240.4125,9.35,-61.32,-216.36
1680013660673,1193649027824671,-16.087502,-77.025,-240.71251,9.35,-61.32,-216.36
1680013660683,1193649037847079,-16.143751,-77.287506,-240.7875,9.35,-61.32,-216.36
1680013660693,1193649047848853,-16.21875,-77.512505,-240.84377,9.35,-61.32,-216.36
1680013660704,1193649057827328,-15.918751,-77.34375,-240.71251,9.35,-61.32,-216.36
1680013660714,1193649067828577,-15.618751,-77.2125,-240.54376,9.35,-61.32,-216.36
1680013660724,1193649077830736,-15.4875,-76.9875,-240.7875,9.35,-61.32,-216.36
1680013660734,1193649087804279,-15.31875,-76.74375,-241.01251,9.35,-61.32,-216.36
1680013660744,1193649097802798,-15.4875,-76.6125,-240.95625,9.35,-61.32,-216.36
1680013660753,1193649107807798,-15.618751,-76.443756,-240.84377,9.35,-61.32,-216.36
1680013660762,1193649117802317,-15.4875,-76.443756,-240.71251,9.35,-61.32,-216.36
1680013660775,1193649127811720,-15.31875,-76.443756,-240.54376,9.35,-61.32,-216.36
1680013660783,1193649137820508,-15.618751,-76.6125,-240.7875,9.35,-61.32,-216.36
1680013660800,1193649147828690,-15.918751,-76.74375,-241.01251,9.35,-61.32,-216.36
1680013660806,1193649157830786,-15.918751,-76.74375,-241.08751,9.35,-61.32,-216.36
