system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680001707448,1181695803601451,0.504,0.338,0.21
1680001707453,1181695806103634,0.478,0.379,0.222
1680001707453,1181695808605787,0.506,0.418,0.195
1680001707457,1181695811107941,0.384,0.431,0.196
1680001707459,1181695813610095,0.412,0.348,0.129
1680001707461,1181695816112249,0.372,0.483,0.158
1680001707463,1181695818614649,0.4,0.4,0.104
1680001707466,1181695821116802,0.387,0.439,-0.016
1680001707469,1181695823618956,0.374,0.408,-0.116
1680001707473,1181695826120859,0.389,0.311,0.048
1680001707475,1181695828623013,0.349,0.378,0.117
1680001707476,1181695831125398,0.431,0.404,0.063
1680001707479,1181695833627629,0.459,0.348,0.132
1680001707481,1181695836129706,0.432,0.374,0.202
1680001707484,1181695838631879,0.488,0.469,0.012
1680001707487,1181695841134033,0.447,0.359,0.096
1680001707490,1181695843636264,0.543,0.371,0.179
1680001707492,1181695846138341,0.462,0.315,0.139
1680001707493,1181695848640586,0.544,0.396,0.168
1680001707496,1181695851142740,0.518,0.435,0.102
1680001707499,1181695853644893,0.518,0.407,0.09
1680001707502,1181695856147047,0.533,0.419,0.105
1680001707504,1181695858649187,0.534,0.498,0.148
1680001707507,1181695861151341,0.562,0.361,0.136
1680001707509,1181695863653726,0.508,0.359,0.002
1680001707512,1181695866155879,0.482,0.494,0.126
1680001707514,1181695868658018,0.455,0.37,0.155
1680001707516,1181695871160172,0.51,0.382,0.307
1680001707519,1181695873662326,0.361,0.476,0.296
1680001707525,1181695876164461,0.473,0.487,0.24
1680001707528,1181695878666615,0.365,0.43,0.31
1680001707528,1181695881168845,0.434,0.415,0.272
1680001707532,1181695883670999,0.503,0.413,0.274
1680001707532,1181695886173153,0.395,0.439,0.262
1680001707534,1181695888675307,0.355,0.369,0.265
1680001707536,1181695891177442,0.383,0.272,0.185
1680001707540,1181695893679519,0.371,0.337,0.092
1680001707542,1181695896181980,0.399,0.308,0.23
1680001707544,1181695898684134,0.427,0.32,0.178
1680001707550,1181695901186278,0.388,0.318,0.016
1680001707550,1181695903688201,0.334,0.385,0.113
1680001707554,1181695906190355,0.322,0.288,0.155
1680001707554,1181695908692509,0.363,0.272,0.129
1680001707557,1181695911194663,0.272,0.39,0.063
1680001707559,1181695913697061,0.3,0.306,0.051
1680001707561,1181695916199215,0.233,0.319,0.093
1680001707564,1181695918701369,0.261,0.317,0.108
1680001707567,1181695921203523,0.248,0.289,0.0
1680001707569,1181695923705668,0.303,0.274,0.07
1680001707575,1181695926207822,0.372,0.273,0.057
1680001707577,1181695928710052,0.292,0.285,0.099
1680001707580,1181695931212220,0.319,0.311,0.046
1680001707580,1181695933714374,0.47,0.391,0.116
1680001707581,1181695936216528,0.538,0.377,0.022
1680001707585,1181695938718682,0.552,0.24,0.16
1680001707587,1181695941220836,0.512,0.307,0.067
1680001707591,1181695943723210,0.485,0.265,0.096
1680001707592,1181695946225364,0.498,0.346,0.072
1680001707594,1181695948727518,0.444,0.277,0.101
1680001707597,1181695951229672,0.485,0.317,0.007
1680001707599,1181695953731822,0.458,0.316,0.009
1680001707601,1181695956233976,0.5,0.287,-0.002
1680001707604,1181695958736129,0.391,0.381,0.026
1680001707607,1181695961238283,0.406,0.367,0.068
1680001707610,1181695963740523,0.42,0.391,-0.073
1680001707612,1181695966242677,0.42,0.308,0.064
1680001707614,1181695968744754,0.434,0.375,-0.015
1680001707619,1181695971246908,0.408,0.36,0.026
1680001707620,1181695973749047,0.476,0.414,0.042
1680001707624,1181695976251278,0.518,0.331,0.125
1680001707625,1181695978753432,0.423,0.371,0.072
1680001707627,1181695981255586,0.477,0.37,0.048
1680001707629,1181695983757740,0.464,0.383,0.036
1680001707631,1181695986259908,0.41,0.45,0.188
1680001707634,1181695988762062,0.438,0.367,0.012
