system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1680001707624,1181695976251278,0.633617,-0.03798,0.557521,0.535029
1680001707625,1181695978753432,0.633679,-0.037946,0.557451,0.53503
1680001707627,1181695981255586,0.633832,-0.037954,0.557347,0.534957
1680001707629,1181695983757740,0.633898,-0.037925,0.557279,0.534951
1680001707631,1181695986259908,0.633959,-0.037889,0.557213,0.534951
1680001707634,1181695988762062,0.634019,-0.037853,0.557148,0.53495
1680001707642,1181695991264234,0.634077,-0.037818,0.557083,0.534951
1680001707642,1181695993766619,0.634135,-0.037787,0.557019,0.534952
1680001707644,1181695996268773,0.634192,-0.03775,0.556956,0.534952
1680001707647,1181695998770927,0.634411,-0.037613,0.556739,0.534928
1680001707647,1181696001273081,0.634482,-0.037573,0.556663,0.534925
1680001707652,1181696003775244,0.63454,-0.037548,0.556599,0.534925
1680001707652,1181696006277475,0.634591,-0.037524,0.556539,0.53493
1680001707653,1181696008779552,0.634639,-0.037506,0.55648,0.534935
1680001707657,1181696011281706,0.634686,-0.037492,0.55642,0.534942
1680001707661,1181696013783860,0.634732,-0.03748,0.556361,0.53495
1680001707663,1181696016286004,0.634916,-0.037414,0.556183,0.534921
1680001707665,1181696018788234,0.634972,-0.03741,0.556113,0.534927
1680001707667,1181696021290388,0.635015,-0.037415,0.556054,0.534938
1680001707672,1181696023792542,0.635059,-0.037425,0.555994,0.534948
1680001707673,1181696026294696,0.635104,-0.037437,0.555932,0.534958
1680001707674,1181696028796874,0.635145,-0.037457,0.555871,0.534971
1680001707677,1181696031299028,0.635187,-0.037481,0.555808,0.534985
1680001707680,1181696033801182,0.635118,-0.037429,0.555773,0.535107
1680001707682,1181696036303566,0.635147,-0.03745,0.55571,0.535137
1680001707684,1181696038805730,0.635192,-0.037485,0.555642,0.535151
1680001707688,1181696041307884,0.63524,-0.037524,0.55557,0.535166
1680001707694,1181696043810038,0.63529,-0.037564,0.555496,0.535181
1680001707694,1181696046312192,0.635347,-0.037611,0.555415,0.535194
1680001707695,1181696048814350,0.635407,-0.037659,0.555331,0.535207
1680001707698,1181696051316581,0.63514,-0.037597,0.555393,0.535463
1680001707701,1181696053818735,0.635176,-0.037629,0.555316,0.535497
1680001707703,1181696056320812,0.635251,-0.037672,0.555223,0.535503
1680001707705,1181696058823057,0.635331,-0.037711,0.555124,0.535507
1680001707707,1181696061325211,0.635415,-0.037747,0.55502,0.535513
1680001707709,1181696063827364,0.635502,-0.037781,0.554912,0.535519
1680001707713,1181696066329518,0.635593,-0.037812,0.554799,0.535526
1680001707716,1181696068831711,0.635575,-0.037623,0.554639,0.535726
1680001707716,1181696071334096,0.635655,-0.037628,0.554521,0.535754
1680001707719,1181696073836250,0.635744,-0.03765,0.554404,0.535767
1680001707721,1181696076338173,0.635835,-0.037679,0.554286,0.53578
