system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1679931077655,1111066006983828,0.380722,-0.128097,-0.472152,0.784673
1679931077656,1111066009485981,0.380666,-0.128127,-0.472107,0.784723
1679931077661,1111066011988135,0.380656,-0.128086,-0.472083,0.784749
1679931077662,1111066014490289,0.380649,-0.12804,-0.472057,0.784776
1679931077664,1111066016992443,0.380635,-0.127996,-0.47203,0.784805
1679931077665,1111066019494390,0.380622,-0.127946,-0.471999,0.784839
1679931077668,1111066021996775,0.380611,-0.127897,-0.471964,0.784873
1679931077670,1111066024498698,0.380125,-0.128075,-0.471872,0.785135
1679931077679,1111066027000876,0.380068,-0.12804,-0.471824,0.785197
1679931077680,1111066029503029,0.380052,-0.127984,-0.471775,0.785244
1679931077681,1111066032005183,0.380043,-0.127926,-0.471727,0.785286
1679931077682,1111066034507260,0.380035,-0.12787,-0.471675,0.78533
1679931077683,1111066037009414,0.380025,-0.127816,-0.471621,0.785376
1679931077685,1111066039511554,0.380013,-0.127759,-0.471564,0.785425
1679931077687,1111066042013708,0.379885,-0.127595,-0.471564,0.785514
1679931077690,1111066044515862,0.37986,-0.127536,-0.471514,0.785566
1679931077694,1111066047017799,0.379844,-0.127496,-0.471459,0.785613
1679931077695,1111066049519953,0.379829,-0.12746,-0.471401,0.785661
1679931077699,1111066052022337,0.379812,-0.127429,-0.471344,0.785709
1679931077701,1111066054524491,0.379793,-0.127405,-0.471289,0.785755
1679931077703,1111066057026414,0.379777,-0.127383,-0.471233,0.7858
1679931077705,1111066059528568,0.380086,-0.126699,-0.47143,0.785643
1679931077707,1111066062030737,0.380102,-0.12662,-0.471396,0.785667
1679931077712,1111066064532814,0.380088,-0.126606,-0.47134,0.785711
1679931077714,1111066067035045,0.380069,-0.126601,-0.471284,0.785754
1679931077716,1111066069537198,0.380046,-0.126603,-0.471229,0.785798
1679931077718,1111066072039280,0.380025,-0.126614,-0.471169,0.785842
1679931077721,1111066074541434,0.380004,-0.12663,-0.471109,0.785886
1679931077726,1111066077043588,0.380147,-0.126029,-0.4713,0.785799
1679931077728,1111066079545511,0.38014,-0.125993,-0.471268,0.785827
1679931077729,1111066082047895,0.380114,-0.126016,-0.471217,0.785867
1679931077731,1111066084550049,0.380087,-0.126046,-0.471166,0.785906
1679931077734,1111066087052202,0.380058,-0.126079,-0.471117,0.785943
1679931077736,1111066089554125,0.380029,-0.126121,-0.471072,0.785978
1679931077738,1111066092056279,0.38,-0.126164,-0.471031,0.786009
1679931077740,1111066094558429,0.379989,-0.125849,-0.471141,0.785999
1679931077743,1111066097060583,0.379962,-0.125856,-0.471116,0.786026
1679931077746,1111066099562737,0.379933,-0.125899,-0.471082,0.786054
1679931077750,1111066102064891,0.379905,-0.125941,-0.471049,0.78608
1679931077752,1111066104567049,0.379875,-0.125984,-0.471018,0.786106
1679931077754,1111066107069202,0.379846,-0.126023,-0.470987,0.786133
1679931077756,1111066109571279,0.37982,-0.126057,-0.470957,0.786158
1679931077758,1111066112073433,0.379755,-0.125899,-0.471016,0.786179
1679931077760,1111066114575587,0.379725,-0.125916,-0.471001,0.7862
1679931077764,1111066117077833,0.379698,-0.125948,-0.470974,0.786224
1679931077766,1111066119579910,0.379667,-0.125986,-0.470952,0.786246
1679931077768,1111066122082064,0.379632,-0.12602,-0.470933,0.786269
1679931077770,1111066124584217,0.379597,-0.126052,-0.470917,0.78629
1679931077775,1111066127086165,0.379562,-0.126085,-0.4709,0.786312
1679931077777,1111066129588318,0.379578,-0.125791,-0.471021,0.786279
1679931077779,1111066132090703,0.379542,-0.125796,-0.471025,0.786293
1679931077781,1111066134592626,0.379493,-0.125832,-0.471022,0.786313
