system_ts_ms, sensor_ts_ns, graX, graY, graZ
1680009480194,1189468547946504,1.568,7.359,6.289
1680009480197,1189468550448695,1.569,7.358,6.29
1680009480199,1189468552950848,1.571,7.356,6.291
1680009480203,1189468555453002,1.576,7.354,6.292
1680009480204,1189468557955156,1.577,7.353,6.293
1680009480205,1189468560457541,1.579,7.352,6.294
1680009480208,1189468562959782,1.58,7.351,6.295
1680009480211,1189468565461858,1.581,7.35,6.296
1680009480213,1189468567964089,1.583,7.349,6.296
1680009480215,1189468570466243,1.584,7.348,6.297
1680009480218,1189468572968401,1.589,7.346,6.298
1680009480221,1189468575470786,1.591,7.345,6.299
1680009480223,1189468577972939,1.592,7.344,6.299
1680009480226,1189468580475170,1.594,7.343,6.3
1680009480228,1189468582977305,1.595,7.343,6.3
1680009480231,1189468585479459,1.597,7.342,6.301
1680009480235,1189468587981613,1.598,7.341,6.301
1680009480236,1189468590483997,1.601,7.342,6.3
1680009480238,1189468592986151,1.602,7.341,6.3
1680009480241,1189468595488305,1.604,7.34,6.301
1680009480243,1189468597990536,1.605,7.34,6.301
1680009480249,1189468600492690,1.607,7.339,6.301
1680009480252,1189468602994839,1.609,7.339,6.302
1680009480253,1189468605496992,1.61,7.338,6.302
1680009480253,1189468607999377,1.613,7.338,6.301
1680009480256,1189468610501531,1.615,7.338,6.301
1680009480258,1189468613003685,1.616,7.337,6.301
1680009480261,1189468615505854,1.618,7.337,6.301
1680009480262,1189468618008084,1.62,7.336,6.302
1680009480264,1189468620510238,1.621,7.336,6.302
1680009480267,1189468623012623,1.623,7.335,6.302
1680009480272,1189468625514791,1.623,7.334,6.303
1680009480274,1189468628016945,1.624,7.334,6.303
1680009480275,1189468630519175,1.626,7.333,6.304
1680009480277,1189468633021252,1.628,7.333,6.304
1680009480281,1189468635523474,1.629,7.332,6.304
1680009480282,1189468638025859,1.631,7.332,6.304
1680009480285,1189468640528012,1.632,7.331,6.304
1680009480287,1189468643030166,1.631,7.332,6.304
1680009480290,1189468645532324,1.632,7.331,6.304
1680009480292,1189468648034555,1.633,7.331,6.304
1680009480295,1189468650536709,1.635,7.33,6.305
1680009480297,1189468653039093,1.636,7.33,6.305
1680009480301,1189468655541247,1.637,7.329,6.305
1680009480303,1189468658043401,1.639,7.328,6.306
1680009480305,1189468660545555,1.636,7.328,6.307
1680009480309,1189468663047709,1.636,7.328,6.307
1680009480311,1189468665549950,1.637,7.327,6.308
1680009480313,1189468668052103,1.639,7.326,6.309
1680009480315,1189468670554488,1.64,7.325,6.31
1680009480319,1189468673056642,1.641,7.324,6.31
1680009480322,1189468675558815,1.642,7.323,6.311
1680009480323,1189468678060969,1.643,7.321,6.314
1680009480326,1189468680563199,1.644,7.319,6.315
1680009480328,1189468683065584,1.645,7.318,6.316
1680009480331,1189468685567507,1.646,7.317,6.317
1680009480333,1189468688069887,1.647,7.316,6.318
1680009480338,1189468690572041,1.648,7.315,6.319
1680009480339,1189468693074194,1.649,7.314,6.319
1680009480341,1189468695576425,1.654,7.312,6.321
1680009480343,1189468698078565,1.655,7.311,6.322
