system_ts_ms, sensor_ts_ns, gyrX, gyrY, gyrZ
1679997304599,1177292953475675,0.0391875,-0.0275,-0.009625
1679997304601,1177292955977752,0.0380875,-0.0275,-0.0066
1679997304603,1177292958479675,0.0380875,-0.020624999,-0.0056375
1679997304606,1177292960981757,0.0391875,-0.0176,-0.004675
1679997304608,1177292963483911,0.0391875,-0.0165,-0.004675
1679997304611,1177292965985834,0.0411125,-0.014575,-0.003575
1679997304613,1177292968487911,0.0422125,-0.008525,-0.0026125
1679997304616,1177292970989825,0.0441375,-0.0015125,-6.875E-4
1679997304619,1177292973491902,0.043175,4.125E-4,-6.875E-4
1679997304621,1177292975993825,0.043175,0.0044,0.001375
1679997304624,1177292978495979,0.0422125,0.01045,0.001375
1679997304628,1177292980998046,0.0462,0.01045,0.0023375
1679997304629,1177292983499969,0.0441375,0.0114124995,0.0023375
1679997304631,1177292986002046,0.0441375,0.013475,0.0053625
1679997304635,1177292988503935,0.0451,0.0154,0.0053625
1679997304637,1177292991006012,0.043175,0.0125124995,0.0053625
1679997304639,1177292993507935,0.0441375,0.0154,0.0053625
1679997304641,1177292996010089,0.0411125,0.0165,0.0044
1679997304643,1177292998512166,0.0391875,0.01045,0.007425
1679997304646,1177293001014084,0.038225,0.0094875,0.006325
1679997304648,1177293003516161,0.037125,0.0034375,0.006325
1679997304651,1177293006018084,0.0341,0.0015125,0.007425
1679997304653,1177293008520161,0.032175,-0.0026125,0.0053625
1679997304656,1177293011022089,0.0331375,-0.0105875,0.0034375
1679997304658,1177293013524243,0.02915,-0.013612499,0.0023375
1679997304661,1177293016026319,0.027224999,-0.0165,0.0034375
1679997304663,1177293018528473,0.0281875,-0.02255,0.001375
1679997304667,1177293021030324,0.0242,-0.0275,-6.875E-4
1679997304668,1177293023532248,0.0231,-0.030524999,-0.00165
1679997304673,1177293026034324,0.0251625,-0.030524999,-0.003575
1679997304674,1177293028536478,0.027224999,-0.0345125,-0.004675
1679997304676,1177293031038401,0.027224999,-0.0385,-0.0066
1679997304679,1177293033540502,0.0221375,-0.0396,-0.0086624995
1679997304683,1177293036042656,0.0202125,-0.0356125,-0.0105875
1679997304684,1177293038544502,0.0221375,-0.0435875,-0.014575
1679997304687,1177293041046430,0.021175,-0.04455,-0.015675
1679997304689,1177293043548584,0.0221375,-0.0424875,-0.0196625
1679997304691,1177293046050738,0.01815,-0.0396,-0.0215875
1679997304693,1177293048552584,0.0171875,-0.0385,-0.0246125
1679997304696,1177293051054661,0.016224999,-0.0424875,-0.026675
1679997304698,1177293053556815,0.015125,-0.0385,-0.0276375
1679997304701,1177293056058738,0.0121,-0.036575,-0.0325875
1679997304703,1177293058560584,0.015125,-0.030524999,-0.0356125
1679997304707,1177293061062969,0.0121,-0.0265375,-0.037675
1679997304710,1177293063564901,0.0111375,-0.0265375,-0.0356125
1679997304712,1177293066066978,0.0061875,-0.0286,-0.036575
1679997304715,1177293068568824,0.00715,-0.025575,-0.037675
1679997304717,1177293071070978,0.0092124995,-0.02255,-0.0405625
1679997304719,1177293073572901,0.00715,-0.02255,-0.0386375
1679997304721,1177293076074728,0.00715,-0.0185625,-0.034649998
1679997304723,1177293078577113,0.0081124995,-0.019524999,-0.0356125
1679997304727,1177293081079036,0.0092124995,-0.0215875,-0.0356125
1679997304728,1177293083581113,0.00715,-0.0204875,-0.0325875
1679997304732,1177293086082959,0.0081124995,-0.02255,-0.0286
1679997304733,1177293088585094,0.0061875,-0.02255,-0.0295625
1679997304736,1177293091087017,0.0081124995,-0.025575,-0.0286
1679997304738,1177293093589094,0.00715,-0.0286,-0.025575
1679997304741,1177293096091257,0.004125,-0.030524999,-0.0276375
1679997304743,1177293098593180,0.0031625,-0.03355,-0.0226875
1679997304748,1177293101095026,0.0022,-0.036575,-0.0176
1679997304750,1177293103597180,0.0022,-0.041525,-0.0185625
1679997304752,1177293106099344,1.375E-4,-0.047575,-0.0176
1679997304753,1177293108601421,-0.00385,-0.0506,-0.0166375
1679997304756,1177293111103267,-0.00385,-0.0534875,-0.0166375
1679997304758,1177293113605421,-0.00385,-0.0576125,-0.0176
1679997304760,1177293116107344,-0.0048125,-0.0576125,-0.0166375
1679997304763,1177293118609214,-0.0048125,-0.0576125,-0.0166375
1679997304767,1177293121111368,-0.0078375,-0.0576125,-0.0176
1679997304768,1177293123613522,-0.0078375,-0.0576125,-0.0196625
1679997304771,1177293126115598,-0.005775,-0.0605,-0.02365
1679997304773,1177293128617532,-0.0108624995,-0.0576125,-0.0215875
1679997304776,1177293131119609,-0.0108624995,-0.0506,-0.0215875
1679997304778,1177293133621532,-0.0127875,-0.0495,-0.0196625
1679997304781,1177293136123609,-0.0127875,-0.0485375,-0.0185625
1679997304785,1177293138625762,-0.0108624995,-0.0424875,-0.0166375
1679997304788,1177293141127685,-0.0108624995,-0.0435875,-0.0176
1679997304790,1177293143629762,-0.0127875,-0.0435875,-0.0166375
1679997304792,1177293146131685,-0.0127875,-0.0396,-0.0166375
1679997304794,1177293148633762,-0.01485,-0.036575,-0.0116875
1679997304796,1177293151135699,-0.0158125,-0.0345125,-0.0105875
1679997304799,1177293153637776,-0.0158125,-0.03355,-0.0116875
1679997304800,1177293156139930,-0.01485,-0.030524999,-0.0116875
1679997304803,1177293158641853,-0.01485,-0.0275,-0.0116875
1679997304806,1177293161143964,-0.0138875,-0.0215875,-0.009625
1679997304808,1177293163645887,-0.0158125,-0.0246125,-0.0116875
1679997304810,1177293166147964,-0.016775,-0.025575,-0.01265
1679997304813,1177293168649887,-0.0188375,-0.0176,-0.0116875
1679997304816,1177293171152041,-0.0188375,-0.019524999,-0.0105875
1679997304818,1177293173654132,-0.0198,-0.0165,-0.01265
1679997304822,1177293176156055,-0.017875,-0.0165,-0.01265
1679997304825,1177293178658132,-0.0188375,-0.0185625,-0.009625
1679997304828,1177293181160045,-0.0209,-0.013612499,-0.009625
1679997304830,1177293183662122,-0.0209,-0.013612499,-0.0116875
1679997304832,1177293186164045,-0.017875,-0.0155375,-0.0105875
1679997304836,1177293188666199,-0.0188375,-0.01155,-0.009625
1679997304840,1177293191168276,-0.0158125,-0.01155,-0.0105875
