system_ts_ms, sensor_ts_ns, graX, graY, graZ
1679997304648,1177293003516161,4.51,5.526,6.729
1679997304651,1177293006018084,4.51,5.527,6.728
1679997304654,1177293008520161,4.506,5.534,6.725
1679997304657,1177293011022089,4.505,5.535,6.724
1679997304658,1177293013524243,4.506,5.536,6.724
1679997304661,1177293016026319,4.506,5.536,6.723
1679997304664,1177293018528473,4.506,5.537,6.722
1679997304667,1177293021030324,4.507,5.537,6.722
1679997304669,1177293023532248,4.507,5.537,6.721
1679997304673,1177293026034324,4.506,5.54,6.72
1679997304675,1177293028536478,4.506,5.541,6.719
1679997304677,1177293031038425,4.507,5.541,6.719
1679997304679,1177293033540502,4.507,5.542,6.718
1679997304683,1177293036042656,4.508,5.542,6.717
1679997304684,1177293038544502,4.508,5.543,6.716
1679997304687,1177293041046430,4.509,5.543,6.716
1679997304689,1177293043548584,4.505,5.552,6.711
1679997304691,1177293046050738,4.505,5.553,6.71
1679997304693,1177293048552584,4.505,5.554,6.709
1679997304696,1177293051054661,4.505,5.554,6.709
1679997304698,1177293053556815,4.506,5.555,6.708
1679997304701,1177293056058738,4.506,5.555,6.708
1679997304703,1177293058560584,4.506,5.556,6.707
1679997304707,1177293061062969,4.504,5.561,6.704
1679997304710,1177293063564901,4.504,5.562,6.703
1679997304712,1177293066066978,4.504,5.562,6.703
1679997304715,1177293068568824,4.503,5.563,6.703
1679997304717,1177293071070978,4.503,5.564,6.702
1679997304719,1177293073572901,4.503,5.564,6.702
1679997304721,1177293076074728,4.503,5.565,6.702
1679997304724,1177293078577113,4.497,5.571,6.701
1679997304727,1177293081079036,4.496,5.572,6.7
1679997304729,1177293083581113,4.496,5.572,6.7
1679997304732,1177293086082940,4.496,5.573,6.7
1679997304733,1177293088585094,4.496,5.573,6.699
1679997304736,1177293091087017,4.496,5.574,6.699
1679997304738,1177293093589094,4.496,5.574,6.698
1679997304741,1177293096091257,4.495,5.576,6.697
1679997304743,1177293098593180,4.496,5.577,6.697
1679997304748,1177293101095026,4.496,5.577,6.696
1679997304750,1177293103597180,4.496,5.577,6.696
1679997304752,1177293106099344,4.497,5.577,6.695
1679997304754,1177293108601421,4.497,5.577,6.695
1679997304756,1177293111103267,4.498,5.578,6.694
1679997304758,1177293113605421,4.499,5.577,6.694
1679997304761,1177293116107344,4.5,5.577,6.694
1679997304766,1177293118609214,4.5,5.577,6.693
1679997304767,1177293121111368,4.501,5.577,6.693
1679997304769,1177293123613522,4.502,5.577,6.692
1679997304771,1177293126115598,4.502,5.577,6.692
1679997304774,1177293128617532,4.503,5.577,6.691
1679997304776,1177293131119609,4.504,5.572,6.695
1679997304778,1177293133621532,4.505,5.571,6.695
1679997304781,1177293136123609,4.505,5.571,6.694
1679997304785,1177293138625762,4.506,5.571,6.694
1679997304788,1177293141127685,4.506,5.571,6.694
1679997304790,1177293143629762,4.507,5.571,6.694
1679997304792,1177293146131685,4.507,5.571,6.693
1679997304795,1177293148633776,4.509,5.568,6.695
1679997304798,1177293151135699,4.509,5.568,6.695
1679997304800,1177293153637776,4.509,5.568,6.695
1679997304801,1177293156139930,4.51,5.568,6.694
1679997304804,1177293158641853,4.51,5.568,6.694
1679997304806,1177293161143964,4.51,5.568,6.694
1679997304808,1177293163645887,4.511,5.567,6.694
1679997304810,1177293166147964,4.511,5.564,6.697
1679997304813,1177293168649887,4.511,5.563,6.697
1679997304816,1177293171152055,4.511,5.563,6.697
1679997304818,1177293173654132,4.512,5.563,6.697
1679997304822,1177293176156055,4.512,5.563,6.697
1679997304825,1177293178658132,4.512,5.562,6.697
1679997304828,1177293181160045,4.512,5.562,6.698
1679997304832,1177293183662122,4.512,5.56,6.699
1679997304833,1177293186164045,4.512,5.56,6.7
1679997304838,1177293188666199,4.512,5.56,6.7
1679997304840,1177293191168276,4.512,5.56,6.7
1679997304840,1177293193670209,4.512,5.559,6.7
1679997304840,1177293196172286,4.512,5.559,6.7
1679997304843,1177293198674209,4.512,5.559,6.7
1679997304846,1177293201176286,4.514,5.555,6.702
1679997304848,1177293203678204,4.515,5.555,6.702
1679997304851,1177293206180358,4.515,5.555,6.702
1679997304853,1177293208682435,4.515,5.555,6.702
1679997304856,1177293211184358,4.515,5.555,6.702
1679997304860,1177293213686411,4.515,5.555,6.702
1679997304861,1177293216188334,4.515,5.554,6.702
1679997304863,1177293218690411,4.515,5.551,6.704
1679997304867,1177293221192565,4.516,5.551,6.705
1679997304869,1177293223694719,4.515,5.551,6.705
1679997304871,1177293226196555,4.515,5.55,6.705
1679997304873,1177293228698478,4.515,5.55,6.705
1679997304876,1177293231200632,4.515,5.55,6.706
1679997304878,1177293233702478,4.515,5.55,6.706
1679997304881,1177293236204555,4.516,5.55,6.705
1679997304884,1177293238706709,4.516,5.55,6.706
1679997304887,1177293241208863,4.516,5.549,6.706
1679997304889,1177293243710709,4.515,5.549,6.706
1679997304891,1177293246212623,4.515,5.549,6.707
1679997304894,1177293248714777,4.515,5.548,6.707
1679997304898,1177293251216854,4.514,5.548,6.708
1679997304900,1177293253718700,4.51,5.548,6.71
1679997304901,1177293256220926,4.509,5.548,6.711
1679997304904,1177293258723002,4.509,5.548,6.712
1679997304907,1177293261224926,4.509,5.547,6.712
1679997304909,1177293263727002,4.508,5.547,6.713
1679997304911,1177293266228926,4.508,5.546,6.713
1679997304915,1177293268730967,4.508,5.546,6.714
1679997304916,1177293271233121,4.506,5.547,6.714
1679997304920,1177293273735044,4.506,5.546,6.715
1679997304921,1177293276237121,4.506,5.546,6.715
1679997304924,1177293278739039,4.505,5.546,6.716
1679997304927,1177293281241116,4.505,5.545,6.716
1679997304929,1177293283743039,4.505,5.545,6.716
1679997304932,1177293286245116,4.505,5.545,6.717
1679997304935,1177293288747035,4.505,5.545,6.717
1679997304938,1177293291249189,4.505,5.545,6.717
1679997304939,1177293293751035,4.505,5.545,6.717
