system_ts_ms, sensor_ts_ns, magXr, magYr, magZr, magDXr, magDYr, magDZr
1679997305366,1177293719142784,-21.112501,-79.6125,-256.9125,-28.14,-55.19,-229.92
1679997305376,1177293729152572,-21.056252,-79.725006,-257.21252,-28.14,-55.19,-229.92
1679997305387,1177293739162500,-20.94375,-79.6125,-257.5125,-28.14,-55.19,-229.92
1679997305396,1177293749150577,-20.8125,-79.78125,-257.5125,-28.14,-55.19,-229.92
1679997305405,1177293759160442,-20.8125,-79.912506,-257.64377,-28.14,-55.19,-229.92
1679997305417,1177293769170340,-20.8125,-79.96875,-257.8125,-28.14,-55.19,-229.92
1679997305425,1177293779178455,-20.94375,-80.025,-257.64377,-28.14,-55.19,-229.92
1679997305435,1177293789181665,-21.112501,-80.08125,-257.5125,-28.14,-55.19,-229.92
1679997305446,1177293799186516,-21.112501,-80.193756,-256.98752,-28.14,-55.19,-229.92
1679997305455,1177293809188593,-21.112501,-80.26875,-256.42502,-28.14,-55.19,-229.92
1679997305465,1177293819190746,-21.1875,-80.26875,-256.14377,-28.14,-55.19,-229.92
1679997305475,1177293829200424,-21.243752,-80.26875,-255.84377,-28.14,-55.19,-229.92
1679997305485,1177293839201270,-21.54375,-80.08125,-256.0125,-28.14,-55.19,-229.92
1679997305495,1177293849207217,-21.84375,-79.96875,-256.14377,-28.14,-55.19,-229.92
1679997305505,1177293859202313,-21.956251,-80.26875,-256.3875,-28.14,-55.19,-229.92
1679997305515,1177293869206620,-22.0125,-80.568756,-256.61252,-28.14,-55.19,-229.92
1679997305525,1177293879205707,-22.143751,-80.625,-257.15625,-28.14,-55.19,-229.92
1679997305536,1177293889203923,-22.3125,-80.68125,-257.64377,-28.14,-55.19,-229.92
1679997305547,1177293899206163,-22.3125,-81.1125,-257.8125,-28.14,-55.19,-229.92
1679997305555,1177293909199004,-22.3125,-81.46875,-257.92502,-28.14,-55.19,-229.92
1679997305567,1177293919201581,-22.0125,-81.412506,-258.05627,-28.14,-55.19,-229.92
1679997305574,1177293929194580,-21.712502,-81.28125,-258.11252,-28.14,-55.19,-229.92
1679997305586,1177293939196864,-21.712502,-81.1125,-258.24377,-28.14,-55.19,-229.92
1679997305595,1177293949199652,-21.712502,-80.86875,-258.4125,-28.14,-55.19,-229.92
1679997305606,1177293959202531,-21.54375,-80.8125,-258.05627,-28.14,-55.19,-229.92
