system_ts_ms, sensor_ts_ns, linX, linY, linZ
1679997304973,1177293326277511,0.172,0.148,0.233
1679997304976,1177293328779588,0.13,0.162,0.098
1679997304977,1177293331281511,0.17,0.19,0.234
1679997304979,1177293333783650,0.236,0.244,0.14
1679997304982,1177293336285727,0.167,0.177,0.181
1679997304984,1177293338787650,0.22,0.231,0.277
1679997304987,1177293341289727,0.23,0.204,0.17
1679997304989,1177293343791655,0.215,0.272,0.28
1679997304991,1177293346293732,0.214,0.259,0.213
1679997304994,1177293348795655,0.227,0.205,0.281
1679997304996,1177293351297809,0.253,0.233,0.2
1679997304999,1177293353799886,0.129,0.179,0.255
1679997305001,1177293356301814,0.169,0.152,0.255
1679997305004,1177293358803891,0.128,0.233,0.215
1679997305006,1177293361305814,0.169,0.192,0.242
1679997305010,1177293363807891,0.209,0.22,0.242
1679997305012,1177293366310031,0.262,0.261,0.243
1679997305014,1177293368811954,0.276,0.207,0.202
1679997305016,1177293371314031,0.234,0.112,0.188
1679997305019,1177293373815954,0.22,0.18,0.161
1679997305021,1177293376318031,0.204,0.142,0.256
1679997305024,1177293378819954,0.245,0.128,0.133
1679997305028,1177293381322108,0.176,0.061,0.31
1679997305029,1177293383824184,0.217,0.184,0.269
1679997305031,1177293386326108,0.258,0.048,0.283
1679997305034,1177293388828194,0.244,0.211,0.201
1679997305036,1177293391330117,0.203,0.062,0.269
1679997305039,1177293393832194,0.174,0.144,0.201
1679997305041,1177293396334117,0.256,0.104,0.228
1679997305044,1177293398836275,0.242,0.076,0.269
1679997305048,1177293401338352,0.324,0.158,0.188
1679997305050,1177293403840275,0.242,0.09,0.27
1679997305051,1177293406342352,0.214,-0.018,0.188
1679997305054,1177293408844280,0.146,0.008,0.229
1679997305056,1177293411346357,0.185,0.026,0.254
1679997305059,1177293413848511,0.293,0.135,0.254
1679997305061,1177293416350434,0.225,0.121,0.295
1679997305064,1177293418852511,0.157,0.053,0.309
1679997305067,1177293421354448,0.211,0.162,0.309
1679997305069,1177293423856525,0.225,0.175,0.337
1679997305071,1177293426358448,0.211,0.175,0.215
1679997305074,1177293428860540,0.275,0.096,0.229
1679997305076,1177293431362694,0.261,0.11,0.42
1679997305079,1177293433864848,0.22,0.15,0.284
1679997305081,1177293436366694,0.138,0.122,0.312
1679997305085,1177293438868612,0.261,0.176,0.38
1679997305088,1177293441370689,0.288,0.162,0.245
1679997305089,1177293443872843,0.247,0.093,0.34
1679997305091,1177293446374689,0.272,0.163,0.259
1679997305094,1177293448876920,0.285,0.108,0.192
1679997305096,1177293451378968,0.231,0.189,0.301
1679997305098,1177293453880814,0.149,0.148,0.329
1679997305101,1177293456382737,0.218,0.161,0.288
1679997305104,1177293458884891,0.218,0.119,0.288
1679997305107,1177293461386973,0.205,0.132,0.153
1679997305109,1177293463888896,0.257,0.241,0.25
1679997305111,1177293466390973,0.23,0.185,0.304
1679997305114,1177293468892896,0.163,0.117,0.25
1679997305117,1177293471394973,0.231,0.211,0.141
1679997305119,1177293473896905,0.245,0.197,0.196
1679997305123,1177293476399290,0.15,0.224,0.278
1679997305126,1177293478901136,0.26,0.196,0.36
1679997305128,1177293481403059,0.258,0.25,0.266
1679997305131,1177293483905117,0.149,0.304,0.28
1679997305132,1177293486407271,0.191,0.249,0.348
1679997305134,1177293488909117,0.205,0.33,0.335
1679997305136,1177293491411271,0.205,0.221,0.28
1679997305139,1177293493913425,0.192,0.329,0.308
1679997305141,1177293496415338,0.11,0.301,0.322
1679997305144,1177293498917184,0.244,0.245,0.188
1679997305148,1177293501419338,0.135,0.313,0.189
1679997305149,1177293503921415,0.163,0.258,0.298
1679997305151,1177293506423281,0.231,0.244,0.325
1679997305154,1177293508925435,0.204,0.271,0.38
1679997305156,1177293511427588,0.245,0.23,0.367
1679997305160,1177293513929511,0.149,0.216,0.367
1679997305162,1177293516431348,0.097,0.228,0.271
1679997305165,1177293518933502,0.165,0.146,0.244
1679997305167,1177293521435578,0.206,0.132,0.244
1679997305169,1177293523937732,0.22,0.173,0.381
1679997305172,1177293526439578,0.274,0.268,0.313
1679997305174,1177293528941742,0.192,0.159,0.354
1679997305176,1177293531443665,0.151,0.159,0.232
1679997305179,1177293533945742,0.111,0.172,0.245
1679997305181,1177293536447665,0.261,0.172,0.204
1679997305184,1177293538949766,0.098,0.199,0.34
1679997305188,1177293541451920,0.152,0.213,0.313
1679997305189,1177293543953843,0.206,0.158,0.259
1679997305192,1177293546455920,0.125,0.171,0.3
1679997305194,1177293548957842,0.207,0.185,0.246
1679997305198,1177293551459919,0.272,0.212,0.261
1679997305200,1177293553961842,0.19,0.239,0.152
1679997305202,1177293556463919,0.19,0.198,0.275
1679997305204,1177293558966078,0.204,0.143,0.289
1679997305207,1177293561468001,0.164,0.197,0.262
1679997305208,1177293563970078,0.137,0.129,0.343
1679997305211,1177293566472001,0.123,0.156,0.112
1679997305216,1177293568974078,0.11,0.207,0.074
1679997305217,1177293571476001,0.069,0.097,0.183
1679997305219,1177293573978155,0.151,0.205,0.238
1679997305221,1177293576480232,0.016,0.137,0.129
1679997305225,1177293578982150,0.207,0.232,0.157
1679997305228,1177293581484227,0.112,0.231,0.361
1679997305230,1177293583986150,0.099,0.258,0.252
1679997305235,1177293586488213,0.088,0.215,0.238
1679997305236,1177293588990136,0.075,0.296,0.293
1679997305241,1177293591492290,0.09,0.268,0.211
1679997305242,1177293593994367,0.09,0.267,0.334
1679997305242,1177293596496290,0.009,0.294,0.252
1679997305244,1177293598998367,0.104,0.28,0.375
1679997305248,1177293601500266,0.132,0.266,0.212
1679997305249,1177293604002343,0.107,0.25,0.253
1679997305251,1177293606504266,0.121,0.236,0.322
1679997305255,1177293609006420,0.148,0.194,0.254
1679997305257,1177293611508599,0.243,0.289,0.322
1679997305259,1177293614010445,0.134,0.248,0.296
1679997305262,1177293616512522,0.202,0.275,0.255
1679997305265,1177293619014445,0.147,0.193,0.229
1679997305268,1177293621516536,0.173,0.233,0.23
1679997305269,1177293624018690,0.187,0.192,0.244
1679997305273,1177293626520613,0.172,0.259,0.231
1679997305276,1177293629022767,0.213,0.286,0.286
1679997305278,1177293631524608,0.239,0.245,0.314
1679997305280,1177293634026685,0.17,0.164,0.287
1679997305281,1177293636528838,0.183,0.204,0.37
1679997305285,1177293639030762,0.196,0.192,0.301
1679997305288,1177293641532838,0.209,0.178,0.22
1679997305289,1177293644034762,0.195,0.124,0.138
1679997305291,1177293646536915,0.222,0.205,0.221
1679997305295,1177293649038992,0.181,0.273,0.262
1679997305297,1177293651540915,0.126,0.205,0.289
1679997305300,1177293654042997,0.166,0.178,0.262
1679997305302,1177293656544920,0.18,0.232,0.263
1679997305305,1177293659046997,0.234,0.259,0.263
1679997305311,1177293661548905,0.139,0.15,0.195
1679997305312,1177293664050982,0.193,0.19,0.318
1679997305313,1177293666552905,0.193,0.122,0.264
1679997305316,1177293669055290,0.139,0.204,0.305
1679997305318,1177293671557136,0.275,0.19,0.278
1679997305320,1177293674059059,0.126,0.19,0.25
1679997305322,1177293676561127,0.208,0.23,0.223
1679997305325,1177293679063050,0.099,0.244,0.182
1679997305327,1177293681565127,0.195,0.284,0.264
1679997305329,1177293684067281,0.1,0.243,0.128
1679997305332,1177293686569204,0.168,0.188,0.209
1679997305335,1177293689071262,0.195,0.27,0.278
1679997305337,1177293691573185,0.194,0.176,0.291
1679997305339,1177293694075339,0.181,0.149,0.304
1679997305342,1177293696577416,0.208,0.285,0.277
1679997305346,1177293699079271,0.235,0.148,0.223
1679997305349,1177293701581425,0.167,0.243,0.224
1679997305351,1177293704083579,0.193,0.243,0.333
1679997305353,1177293706585502,0.207,0.202,0.225
1679997305356,1177293709087343,0.205,0.162,0.225
1679997305357,1177293711589420,0.245,0.257,0.212
1679997305359,1177293714091574,0.231,0.23,0.24
1679997305362,1177293716593497,0.258,0.202,0.213
1679997305367,1177293719095579,0.203,0.147,0.295
1679997305367,1177293721597733,0.23,0.16,0.296
1679997305369,1177293724099656,0.216,0.255,0.146
1679997305372,1177293726601502,0.163,0.255,0.363
1679997305376,1177293729103656,0.231,0.282,0.255
1679997305377,1177293731605748,0.191,0.091,0.296
1679997305379,1177293734107902,0.15,0.227,0.324
1679997305383,1177293736609748,0.163,0.213,0.351
1679997305387,1177293739111892,0.082,0.171,0.284
1679997305390,1177293741612852,0.085,0.252,0.323
1679997305390,1177293744113815,0.086,0.251,0.323
1679997305392,1177293746617815,0.058,0.223,0.228
1679997305398,1177293749119892,0.1,0.264,0.324
1679997305398,1177293751622046,0.072,0.277,0.188
1679997305399,1177293754123969,0.018,0.331,0.392
1679997305402,1177293756626046,0.018,0.208,0.324
1679997305405,1177293759127969,0.1,0.222,0.338
1679997305409,1177293761630041,0.129,0.261,0.27
1679997305410,1177293764131964,0.13,0.274,0.297
1679997305412,1177293766634117,0.021,0.247,0.365
1679997305417,1177293769136194,0.021,0.397,0.311
1679997305417,1177293771638117,0.061,0.233,0.188
