system_ts_ms, sensor_ts_ns, accX, accY, accZ
1679997304629,1177292983499969,4.6729503,5.8500004,6.8370004
1679997304631,1177292986002046,4.58895,5.9209504,7.02405
1679997304635,1177292988503935,4.6200004,5.82105,6.9090004
1679997304637,1177292991006012,4.59105,5.9760003,7.0290003
1679997304639,1177292993507935,4.6150503,5.8710003,6.912
1679997304640,1177292996010089,4.53405,5.92395,7.0270505
1679997304643,1177292998512166,4.5409503,6.0079503,6.9810004
1679997304646,1177293001014084,4.5360003,5.9599504,7.0720506
1679997304648,1177293003516161,4.56495,5.91405,6.8970003
1679997304650,1177293006018084,4.60605,5.94105,6.8490005
1679997304653,1177293008520161,4.5820503,5.9689503,6.9330006
1679997304656,1177293011022089,4.66305,5.94105,6.8760004
1679997304658,1177293013524243,4.6420503,5.9089503,6.9210005
1679997304661,1177293016026319,4.59105,6.0100503,6.9600005
1679997304663,1177293018528473,4.6579504,5.9670005,6.9949503
1679997304667,1177293021030324,4.6540504,5.92395,6.9880505
1679997304668,1177293023532248,4.58895,5.8609505,7.0069504
1679997304672,1177293026034324,4.6870503,5.907,7.0750504
1679997304674,1177293028536478,4.656,5.9740505,6.9480004
1679997304676,1177293031038401,4.6660504,5.8380003,7.0309505
1679997304678,1177293033540502,4.6800003,5.8950005,7.0750504
1679997304682,1177293036042656,4.67805,5.919,6.91905
1679997304684,1177293038544502,4.70205,5.9290504,6.9360003
1679997304686,1177293041046425,4.623,5.8879504,6.9330006
1679997304688,1177293043548584,4.60305,6.0340505,6.9210005
1679997304691,1177293046050738,4.7299504,5.83995,6.9600005
1679997304693,1177293048552584,4.6270504,5.9500504,6.9910502
1679997304696,1177293051054661,4.63905,5.9020505,7.08195
1679997304698,1177293053556815,4.57905,5.8999505,6.9859505
1679997304700,1177293056058738,4.5,5.8570504,6.9810004
1679997304703,1177293058560584,4.644,5.8879504,6.9949503
1679997304707,1177293061062969,4.644,5.91405,6.91905
1679997304710,1177293063564901,4.5940504,5.87295,7.02405
1679997304712,1177293066066978,4.5820503,5.8279505,6.9930005
1679997304715,1177293068568824,4.57695,5.98605,7.0000505
1679997304717,1177293071070978,4.5529504,5.91195,7.04295
1679997304719,1177293073572901,4.572,5.95695,6.9619503
1679997304720,1177293076074728,4.656,5.9599504,7.03905
1679997304723,1177293078577113,4.5270004,5.9670005,6.9739504
1679997304726,1177293081079036,4.6990504,5.8969502,6.9880505
1679997304728,1177293083581113,4.524,5.92605,6.93795
1679997304731,1177293086082959,4.61805,5.931,6.873
1679997304733,1177293088585094,4.67805,5.907,7.0750504
1679997304735,1177293091087017,4.6579504,5.9290504,7.0069504
1679997304738,1177293093589094,4.66305,5.9599504,6.8689504
1679997304740,1177293096091248,4.70205,5.91195,7.0189505
1679997304743,1177293098593180,4.7299504,5.91195,6.94005
1679997304748,1177293101095026,4.6270504,5.8330503,7.0189505
1679997304749,1177293103597180,4.704,5.8710003,6.945
1679997304751,1177293106099344,4.7260504,5.814,6.9949503
1679997304753,1177293108601421,4.761,5.8330503,6.9880505
1679997304756,1177293111103267,4.7299504,5.8110003,7.0000505
1679997304758,1177293113605421,4.7400002,5.8450503,7.0939503
1679997304760,1177293116107344,4.7640004,5.7010503,7.0000505
1679997304763,1177293118609214,4.76595,5.7510004,7.00995
1679997304766,1177293121111368,4.8450003,5.74905,7.00995
1679997304768,1177293123613522,4.6990504,5.67495,7.0750504
1679997304770,1177293126115598,4.75005,5.7130504,7.08405
1679997304773,1177293128617532,4.6800003,5.6530504,6.9480004
1679997304776,1177293131119609,4.7299504,5.67,7.11495
1679997304778,1177293133621532,4.71105,5.6460004,7.0480504
1679997304780,1177293136123609,4.6729503,5.68695,6.9979506
1679997304784,1177293138625762,4.66095,5.6530504,7.0960503
1679997304787,1177293141127685,4.66305,5.7730503,7.1629505
1679997304789,1177293143629762,4.635,5.7300005,7.0219502
1679997304791,1177293146131685,4.69005,5.68905,7.0189505
1679997304794,1177293148633762,4.66995,5.6650505,6.94005
1679997304796,1177293151135699,4.6969504,5.78205,7.089
1679997304799,1177293153637776,4.66095,5.74905,7.0309505
1679997304800,1177293156139930,4.6990504,5.6719503,7.0960503
1679997304803,1177293158641853,4.66095,5.67495,7.05495
1679997304805,1177293161143964,4.6320004,5.742,7.0630503
1679997304807,1177293163645887,4.656,5.6959505,7.0939503
1679997304810,1177293166147964,4.6800003,5.6650505,7.01205
1679997304813,1177293168649887,4.7059503,5.7060003,7.0870504
1679997304815,1177293171152041,4.7140503,5.79195,7.0270505
1679997304817,1177293173654132,4.7179503,5.8060503,7.0720506
1679997304821,1177293176156055,4.7449503,5.82105,7.1080503
1679997304825,1177293178658132,4.63005,5.7250504,7.08195
1679997304828,1177293181160045,4.73505,5.8380003,6.9949503
1679997304830,1177293183662122,4.7299504,5.7900004,7.0960503
1679997304832,1177293186164045,4.7400002,5.7900004,7.01205
1679997304834,1177293188666199,4.8289504,5.8110003,7.0579505
1679997304840,1177293191168276,4.75005,5.814,7.0750504
1679997304840,1177293193670209,4.8499503,5.7900004,7.18695
1679997304840,1177293196172286,4.7899504,5.77005,7.0530005
1679997304843,1177293198674209,4.7970004,5.88105,7.1580005
1679997304846,1177293201176286,4.82595,5.75895,7.11
1679997304848,1177293203678209,4.8499503,5.7730503,7.0750504
1679997304850,1177293206180358,4.82595,5.8230004,7.18695
1679997304853,1177293208682435,4.7710505,5.8039503,7.00995
1679997304855,1177293211184358,4.821,5.8570504,7.0650005
1679997304859,1177293213686411,4.8169503,5.907,7.0939503
1679997304861,1177293216188334,4.7710505,5.8950005,7.0650005
1679997304863,1177293218690411,4.80495,5.7660003,7.149
1679997304866,1177293221192565,4.78305,5.75895,7.1629505
1679997304868,1177293223694719,4.80495,5.80905,7.1059504
1679997304870,1177293226196555,4.72305,5.77995,7.0189505
1679997304873,1177293228698478,4.7470503,5.82105,7.209
1679997304876,1177293231200632,4.70895,5.78205,6.984
1679997304878,1177293233702478,4.72305,5.85405,6.90705
1679997304881,1177293236204555,4.80495,5.8609505,7.05495
1679997304883,1177293238706709,4.7899504,5.8690505,6.94995
1679997304887,1177293241208863,4.71105,5.7559505,7.00995
1679997304889,1177293243710709,4.7569504,5.802,7.00995
1679997304890,1177293246212632,4.64895,5.7390003,7.0530005
1679997304893,1177293248714777,4.7299504,5.8450503,6.9859505
1679997304897,1177293251216854,4.63695,5.80905,7.0270505
1679997304900,1177293253718700,4.5700502,5.79405,7.0270505
1679997304901,1177293256220926,4.6129503,5.67705,6.9600005
1679997304903,1177293258723002,4.5100503,5.73705,6.9280505
1679997304907,1177293261224926,4.57695,5.6719503,6.8490005
1679997304908,1177293263727002,4.5529504,5.65605,6.984
1679997304910,1177293266228926,4.57695,5.68695,6.8160005
1679997304913,1177293268730967,4.5409503,5.67495,7.0290003
1679997304916,1177293271233121,4.5220504,5.6389503,6.8040004
1679997304918,1177293273735044,4.5220504,5.58795,6.8040004
1679997304921,1177293276237121,4.59105,5.6599503,6.8160005
1679997304923,1177293278739039,4.4880004,5.67,6.7780504
1679997304926,1177293281241116,4.6470003,5.6580005,6.7939506
1679997304928,1177293283743039,4.584,5.6200504,6.84
1679997304931,1177293286245116,4.6150503,5.73705,6.77295
1679997304935,1177293288747035,4.56495,5.66295,6.83505
1679997304937,1177293291249189,4.5750003,5.7180004,6.7540503
1679997304939,1177293293751035,4.6800003,5.7319503,6.7510505
1679997304941,1177293296253112,4.623,5.77995,6.7990503
1679997304943,1177293298755343,4.63905,5.7010503,6.9210005
1679997304947,1177293301257174,4.64895,5.74905,6.7819505
1679997304948,1177293303759251,4.656,5.8350005,6.8640003
1679997304951,1177293306261405,4.6870503,5.787,6.8370004
1679997304953,1177293308763328,4.6849504,5.787,6.8280005
1679997304956,1177293311265174,4.6729503,5.7300005,6.8830504
1679997304958,1177293313767275,4.7179503,5.74695,6.93795
1679997304960,1177293316269506,4.68195,5.73495,7.0030503
1679997304963,1177293318771583,4.7520003,5.775,6.9259505
1679997304966,1177293321273429,4.56705,5.7730503,6.9259505
1679997304968,1177293323775588,4.6129503,5.74695,7.017
1679997304972,1177293326277511,4.69005,5.7060003,6.95205
1679997304975,1177293328779588,4.656,5.715,6.8230505
1679997304977,1177293331281511,4.69395,5.73705,6.95205
1679997304979,1177293333783650,4.7640004,5.79405,6.8640003
1679997304982,1177293336285727,4.6920004,5.727,6.9040504
1679997304983,1177293338787650,4.74195,5.77995,7.0000505
1679997304987,1177293341289727,4.76595,5.76105,6.8830504
1679997304988,1177293343791650,4.7520003,5.8230004,6.9949503
1679997304991,1177293346293732,4.7470503,5.8039503,6.9280505
1679997304993,1177293348795655,4.75395,5.76105,6.9979506
1679997304996,1177293351297809,4.7850003,5.7780004,6.9160504
1679997304998,1177293353799886,4.668,5.7300005,6.9600005
1679997305001,1177293356301814,4.70205,5.7060003,6.9619503
1679997305004,1177293358803891,4.66305,5.7850504,6.9210005
1679997305006,1177293361305814,4.704,5.742,6.9570003
1679997305010,1177293363807891,4.7449503,5.7730503,6.95205
1679997305011,1177293366310031,4.7970004,5.814,6.95205
1679997305013,1177293368811954,4.809,5.76105,6.90705
1679997305016,1177293371314031,4.7779503,5.66295,6.9040504
1679997305018,1177293373815954,4.7590504,5.7229505,6.86595
1679997305021,1177293376318031,4.7520003,5.6839504,6.9670506
1679997305023,1177293378819954,4.79295,5.67,6.8419504
1679997305027,1177293381322108,4.72095,5.60505,7.0189505
1679997305029,1177293383824184,4.75395,5.7300005,6.97905
1679997305031,1177293386326108,4.79505,5.58795,6.9910502
1679997305033,1177293388828185,4.788,5.74905,6.9090004
1679997305036,1177293391330117,4.7470503,5.60505,6.9760504
1679997305038,1177293393832194,4.7179503,5.68905,6.9139504
