system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1679997304523,1177292875912853,0.385139,0.082387,0.720219,0.571106
1679997304527,1177292878414930,0.38513,0.082406,0.720213,0.571119
1679997304528,1177292880916853,0.385328,0.08147,0.718784,0.572916
1679997304530,1177292883418925,0.38533,0.081481,0.718762,0.572941
1679997304532,1177292885921078,0.385221,0.08158,0.718755,0.573009
1679997304534,1177292888423001,0.385205,0.081614,0.718749,0.573022
1679997304536,1177292890925078,0.385198,0.081637,0.718743,0.573031
1679997304538,1177292893427001,0.385195,0.081655,0.718737,0.573038
1679997304543,1177292895929088,0.385194,0.081681,0.718727,0.573048
1679997304543,1177292898431011,0.385199,0.081709,0.718715,0.573055
1679997304548,1177292900933088,0.385422,0.080696,0.717161,0.574993
1679997304549,1177292903435242,0.385278,0.080822,0.717139,0.575099
1679997304551,1177292905937193,0.385273,0.080858,0.717123,0.575117
1679997304553,1177292908439270,0.385285,0.080882,0.717105,0.575128
1679997304556,1177292910941193,0.3853,0.080909,0.717084,0.575141
1679997304560,1177292913443270,0.385318,0.080931,0.717064,0.575151
1679997304562,1177292915945438,0.385341,0.080956,0.717042,0.575159
1679997304564,1177292918447361,0.38537,0.080983,0.717016,0.575167
1679997304567,1177292920949438,0.38578,0.080041,0.715352,0.577094
1679997304568,1177292923451284,0.385831,0.080064,0.715304,0.577116
1679997304571,1177292925953438,0.385875,0.08008,0.71527,0.577126
1679997304577,1177292928455603,0.38592,0.080094,0.715238,0.577134
1679997304578,1177292930957526,0.385964,0.080107,0.715206,0.577142
1679997304579,1177292933459603,0.386007,0.080118,0.715175,0.57715
1679997304582,1177292935961526,0.386051,0.080132,0.715145,0.577157
1679997304583,1177292938463622,0.386303,0.080118,0.715067,0.577086
1679997304587,1177292940965545,0.386524,0.079429,0.713983,0.578374
1679997304589,1177292943467622,0.386579,0.079434,0.713943,0.578387
1679997304593,1177292945969776,0.386633,0.079445,0.71391,0.578389
1679997304594,1177292948471675,0.386685,0.079454,0.713881,0.578389
1679997304599,1177292950973752,0.386738,0.079464,0.713854,0.578386
1679997304600,1177292953475675,0.38679,0.079483,0.71383,0.578378
1679997304601,1177292955977752,0.387065,0.079436,0.713768,0.578277
1679997304603,1177292958479680,0.387133,0.079451,0.713746,0.578257
1679997304608,1177292960981757,0.387264,0.079063,0.713114,0.579002
1679997304608,1177292963483911,0.387307,0.079084,0.713093,0.578995
1679997304612,1177292965985834,0.387349,0.079111,0.713079,0.578981
1679997304613,1177292968487902,0.387388,0.079143,0.713068,0.578964
1679997304617,1177292970989825,0.387422,0.079181,0.713062,0.578944
1679997304619,1177292973491902,0.387579,0.079455,0.712945,0.578945
1679997304621,1177292975993825,0.38762,0.079519,0.712932,0.578925
1679997304624,1177292978495969,0.387643,0.079565,0.712932,0.578902
1679997304629,1177292980998046,0.387735,0.079285,0.712444,0.579481
1679997304629,1177292983499969,0.387757,0.079328,0.712442,0.579462
1679997304632,1177292986002046,0.387778,0.079374,0.712447,0.579435
1679997304635,1177292988503935,0.387798,0.079423,0.712454,0.579407
1679997304637,1177292991006012,0.387832,0.079828,0.712336,0.579473
1679997304639,1177292993507935,0.387852,0.079912,0.71233,0.579455
1679997304641,1177292996010089,0.387868,0.079962,0.712336,0.579431
1679997304643,1177292998512166,0.387888,0.080002,0.712343,0.579404
1679997304647,1177293001014084,0.387959,0.079793,0.711979,0.579832
1679997304648,1177293003516161,0.387983,0.079823,0.711979,0.579812
1679997304651,1177293006018084,0.388007,0.079852,0.711981,0.579789
1679997304654,1177293008520161,0.388134,0.080255,0.711827,0.579838
1679997304657,1177293011022089,0.388178,0.080317,0.711804,0.579828
1679997304658,1177293013524243,0.388212,0.080333,0.711796,0.579813
1679997304661,1177293016026319,0.388246,0.080344,0.711788,0.579798
1679997304664,1177293018528473,0.388286,0.080352,0.711776,0.579785
1679997304667,1177293021030324,0.388409,0.079965,0.711178,0.58049
1679997304669,1177293023532248,0.388453,0.079961,0.711155,0.580489
1679997304673,1177293026034324,0.388491,0.080102,0.71109,0.580524
