system_ts_ms, sensor_ts_ns, graX, graY, graZ
1679994866220,1174854574101650,0.693,3.939,8.953
1679994866222,1174854576603727,0.694,3.939,8.953
1679994866224,1174854579105645,0.695,3.939,8.953
1679994866227,1174854581607722,0.696,3.939,8.953
1679994866229,1174854584109645,0.698,3.939,8.953
1679994866232,1174854586611722,0.71,3.938,8.952
1679994866236,1174854589113568,0.712,3.938,8.952
1679994866238,1174854591615492,0.713,3.937,8.952
1679994866241,1174854594117645,0.714,3.937,8.952
1679994866242,1174854596619492,0.714,3.937,8.953
1679994866244,1174854599121568,0.714,3.936,8.953
1679994866248,1174854601623425,0.713,3.936,8.953
1679994866249,1174854604125348,0.717,3.932,8.954
1679994866252,1174854606627425,0.717,3.932,8.955
1679994866254,1174854609129348,0.715,3.932,8.955
1679994866258,1174854611631439,0.713,3.932,8.955
1679994866260,1174854614133362,0.711,3.932,8.955
1679994866262,1174854616635208,0.708,3.932,8.955
1679994866264,1174854619137285,0.706,3.932,8.955
1679994866267,1174854621639237,0.696,3.932,8.956
1679994866269,1174854624141314,0.692,3.933,8.956
1679994866274,1174854626643160,0.69,3.933,8.956
1679994866275,1174854629145314,0.687,3.934,8.956
1679994866277,1174854631647251,0.685,3.934,8.956
1679994866279,1174854634149328,0.684,3.935,8.956
1679994866282,1174854636651174,0.682,3.935,8.956
1679994866284,1174854639153097,0.664,3.941,8.955
1679994866288,1174854641655160,0.661,3.942,8.954
1679994866289,1174854644157083,0.661,3.942,8.955
1679994866292,1174854646659160,0.661,3.942,8.955
1679994866295,1174854649161083,0.661,3.941,8.955
1679994866297,1174854651662929,0.661,3.941,8.955
1679994866300,1174854654165006,0.662,3.941,8.955
1679994866302,1174854656666929,0.651,3.949,8.952
1679994866305,1174854659169006,0.651,3.95,8.952
1679994866307,1174854661670929,0.652,3.949,8.952
1679994866311,1174854664172775,0.654,3.949,8.952
1679994866312,1174854666674852,0.655,3.948,8.952
1679994866314,1174854669176775,0.657,3.947,8.952
1679994866318,1174854671678852,0.659,3.947,8.952
1679994866320,1174854674180775,0.664,3.951,8.95
1679994866322,1174854676682880,0.666,3.951,8.95
1679994866331,1174854679184803,0.667,3.95,8.95
1679994866336,1174854681686650,0.668,3.949,8.951
1679994866336,1174854684188727,0.668,3.949,8.951
1679994866336,1174854686690646,0.669,3.948,8.951
1679994866336,1174854689192492,0.669,3.947,8.951
1679994866336,1174854691694646,0.68,3.95,8.949
1679994866339,1174854694196492,0.681,3.949,8.95
1679994866341,1174854696698559,0.681,3.949,8.95
1679994866344,1174854699200482,0.68,3.948,8.95
1679994866348,1174854701702559,0.679,3.947,8.951
1679994866349,1174854704204405,0.678,3.946,8.951
1679994866351,1174854706706299,0.677,3.946,8.952
1679994866354,1174854709208453,0.685,3.948,8.95
1679994866357,1174854711710299,0.685,3.948,8.95
1679994866358,1174854714212376,0.683,3.947,8.951
1679994866361,1174854716714299,0.682,3.946,8.951
1679994866364,1174854719216366,0.681,3.945,8.951
1679994866367,1174854721718212,0.679,3.944,8.952
1679994866369,1174854724220135,0.678,3.944,8.952
1679994866371,1174854726722289,0.674,3.946,8.952
1679994866375,1174854729224380,0.673,3.945,8.952
1679994866377,1174854731726226,0.672,3.944,8.952
1679994866379,1174854734228149,0.671,3.943,8.953
1679994866381,1174854736729995,0.67,3.942,8.954
1679994866387,1174854739232067,0.669,3.941,8.954
1679994866389,1174854741733990,0.668,3.94,8.955
1679994866392,1174854744236067,0.663,3.941,8.955
1679994866393,1174854746737990,0.662,3.94,8.955
1679994866394,1174854749240067,0.661,3.939,8.956
1679994866397,1174854751741918,0.661,3.938,8.956
1679994866399,1174854754243842,0.661,3.937,8.957
1679994866402,1174854756745919,0.661,3.936,8.957
1679994866404,1174854759247842,0.661,3.934,8.958
1679994866410,1174854761749890,0.657,3.934,8.958
1679994866410,1174854764251813,0.657,3.933,8.959
1679994866411,1174854766753890,0.657,3.932,8.959
1679994866414,1174854769255736,0.657,3.93,8.96
1679994866416,1174854771757659,0.657,3.929,8.96
1679994866420,1174854774259722,0.658,3.928,8.961
1679994866425,1174854776761876,0.658,3.927,8.961
1679994866427,1174854779263722,0.657,3.923,8.963
1679994866428,1174854781765645,0.657,3.922,8.963
1679994866431,1174854784307467,0.657,3.921,8.964
1679994866433,1174854786769621,0.657,3.92,8.965
1679994866435,1174854789271467,0.657,3.918,8.965
1679994866438,1174854791773544,0.657,3.917,8.966
1679994866441,1174854794275467,0.657,3.916,8.966
1679994866442,1174854796777510,0.659,3.913,8.967
1679994866444,1174854799279433,0.659,3.911,8.968
1679994866447,1174854801781279,0.659,3.91,8.968
1679994866449,1174854804283356,0.659,3.909,8.969
1679994866452,1174854806785284,0.659,3.908,8.969
1679994866455,1174854809287130,0.659,3.907,8.97
