system_ts_ms, sensor_ts_ns, accXr, accYr, accZr, accDXr, accDYr, accDZr
1679992172283,1172160638766758,1.9930501,6.6780005,7.5610504,0.0,0.0,0.0
1679992172286,1172160641268527,1.6500001,6.4030504,7.9270506,0.0,0.0,0.0
1679992172288,1172160643770143,1.5330001,6.3240004,7.8409505,0.0,0.0,0.0
1679992172291,1172160646271946,1.35105,6.23295,7.5079503,0.0,0.0,0.0
1679992172293,1172160648773485,1.38495,6.08895,6.7969503,0.0,0.0,0.0
1679992172297,1172160651275331,1.6170001,5.9170504,5.9659505,0.0,0.0,0.0
1679992172299,1172160653776946,1.8229501,5.9050503,5.247,0.0,0.0,0.0
1679992172302,1172160656278729,1.7700001,5.6599503,5.0560503,0.0,0.0,0.0
1679992172303,1172160658780345,1.6530001,5.2870502,5.6569505,0.0,0.0,0.0
1679992172308,1172160661282114,1.4830501,5.136,6.366,0.0,0.0,0.0
1679992172309,1172160663783960,1.43505,5.39895,7.2850504,0.0,0.0,0.0
1679992172311,1172160666285499,1.3729501,5.6650505,8.20695,0.0,0.0,0.0
1679992172313,1172160668787105,1.13505,5.478,9.019051,0.0,0.0,0.0
1679992172317,1172160671288874,1.3630501,5.7300005,9.51,0.0,0.0,0.0
1679992172319,1172160673790490,1.72695,6.1369505,9.903001,0.0,0.0,0.0
1679992172321,1172160676292336,1.7530501,5.97195,9.7900505,0.0,0.0,0.0
1679992172323,1172160678794100,1.95,5.7250504,9.931951,0.0,0.0,0.0
1679992172326,1172160681295715,2.3760002,5.9929504,9.901051,0.0,0.0,0.0
1679992172328,1172160683797485,2.67105,6.3,9.68295,0.0,0.0,0.0
1679992172331,1172160686299331,2.97,6.20205,9.55605,0.0,0.0,0.0
1679992172334,1172160688800926,3.147,6.3619504,9.34305,0.0,0.0,0.0
1679992172336,1172160691302465,3.01095,6.477,9.052951,0.0,0.0,0.0
1679992172338,1172160693804234,2.9200501,6.3960004,8.75805,0.0,0.0,0.0
1679992172341,1172160696306080,2.592,5.91405,8.821051,0.0,0.0,0.0
1679992172346,1172160698807700,2.2080002,5.1649504,9.346951,0.0,0.0,0.0
1679992172347,1172160701309239,2.2440002,4.37895,9.817051,0.0,0.0,0.0
1679992172349,1172160703811008,2.25195,4.18995,10.092,0.0,0.0,0.0
1679992172352,1172160706312854,1.8900001,3.8590503,10.189951,0.0,0.0,0.0
1679992172353,1172160708814470,1.5090001,3.8040001,9.654,0.0,0.0,0.0
1679992172358,1172160711316239,0.99705005,3.8209503,9.132,0.0,0.0,0.0
1679992172359,1172160713817854,0.29805002,4.2400503,8.578951,0.0,0.0,0.0
1679992172362,1172160716319624,-0.21900001,4.9080005,8.122951,0.0,0.0,0.0
1679992172363,1172160718821268,-1.20105,4.8679504,8.035951,0.0,0.0,0.0
1679992172366,1172160721323037,-2.05605,4.662,8.18595,0.0,0.0,0.0
1679992172368,1172160723824883,-2.5090501,5.1480002,8.245951,0.0,0.0,0.0
1679992172372,1172160726326499,-3.04005,5.3629503,7.66095,0.0,0.0,0.0
1679992172375,1172160728828037,-3.4330502,5.0500503,7.89795,0.0,0.0,0.0
1679992172376,1172160731329883,-3.01395,5.5090504,7.83405,0.0,0.0,0.0
1679992172378,1172160733831653,-2.9610002,5.47095,7.623,0.0,0.0,0.0
1679992172383,1172160736333268,-2.8870502,5.0929503,7.63005,0.0,0.0,0.0
1679992172385,1172160738834797,-2.13,6.23505,7.5660005,0.0,0.0,0.0
1679992172387,1172160741336567,-1.9200001,6.4630504,7.5420003,0.0,0.0,0.0
1679992172388,1172160743838413,-1.2750001,7.4539504,7.90605,0.0,0.0,0.0
1679992172391,1172160746340259,-0.61005,7.7700005,7.8600006,0.0,0.0,0.0
1679992172393,1172160748841797,-0.018000001,7.6480503,8.41605,0.0,0.0,0.0
1679992172397,1172160751343413,0.73605,8.283,8.752951,0.0,0.0,0.0
1679992172399,1172160753845182,1.179,8.05305,8.976001,0.0,0.0,0.0
1679992172401,1172160756346798,1.42305,8.142,9.201,0.0,0.0,0.0
1679992172403,1172160758848567,1.2409501,7.866,9.172951,0.0,0.0,0.0
1679992172406,1172160761350413,1.31295,7.2580504,8.95905,0.0,0.0,0.0
1679992172408,1172160763852037,1.57605,7.524,8.21205,0.0,0.0,0.0
1679992172411,1172160766353576,1.5330001,7.4419503,7.6330504,0.0,0.0,0.0
1679992172413,1172160768855422,1.4440501,6.8650503,6.7990503,0.0,0.0,0.0
1679992172416,1172160771357191,1.58595,6.53205,6.0930004,0.0,0.0,0.0
1679992172420,1172160773858788,1.29795,5.9689503,5.8240504,0.0,0.0,0.0
1679992172423,1172160776360326,0.84705,2.6830502,10.377001,0.0,0.0,0.0
1679992172426,1172160778862172,2.2680001,4.92,5.27295,0.0,0.0,0.0
1679992172427,1172160781363941,2.4070501,5.5620003,4.99305,0.0,0.0,0.0
1679992172428,1172160783865557,2.8620002,5.3149505,4.854,0.0,0.0,0.0
1679992172431,1172160786367089,2.5819502,5.4900002,4.74405,0.0,0.0,0.0
1679992172434,1172160788868859,2.22795,4.83405,4.6990504,0.0,0.0,0.0
1679992172437,1172160791370782,2.45295,4.8240004,5.1010504,0.0,0.0,0.0
1679992172438,1172160793872551,2.28495,5.01105,5.103,0.0,0.0,0.0
1679992172441,1172160796374084,1.96905,4.48395,4.9690504,0.0,0.0,0.0
1679992172444,1172160798875700,1.61205,4.8769503,5.1589503,0.0,0.0,0.0
1679992172446,1172160801377469,0.72195005,4.0339503,5.235,0.0,0.0,0.0
1679992172448,1172160803879084,0.252,4.61805,5.44605,0.0,0.0,0.0
1679992172451,1172160806380854,-0.432,3.8950503,4.9240503,0.0,0.0,0.0
1679992172453,1172160808882672,-0.6,4.3890004,5.1060004,0.0,0.0,0.0
1679992172457,1172160811384287,-1.4959501,3.933,5.2180505,0.0,0.0,0.0
1679992172459,1172160813886056,-1.5270001,3.4660501,5.8770003,0.0,0.0,0.0
1679992172460,1172160816387672,-1.44105,3.5380502,6.8160005,0.0,0.0,0.0
1679992172463,1172160818889441,-1.5700501,3.387,7.6039505,0.0,0.0,0.0
1679992172465,1172160821391056,-1.74195,3.387,8.101951,0.0,0.0,0.0
1679992172468,1172160823892826,-2.262,3.37995,8.811001,0.0,0.0,0.0
1679992172471,1172160826394441,-2.28795,3.7710001,9.541051,0.0,0.0,0.0
1679992172473,1172160828896263,-2.0350502,4.15395,9.75,0.0,0.0,0.0
1679992172477,1172160831398032,-1.3039501,4.7070003,10.059,0.0,0.0,0.0
1679992172478,1172160833899571,-0.79200006,5.0740504,9.843,0.0,0.0,0.0
1679992172481,1172160836401186,-0.034950003,5.8710003,10.02795,0.0,0.0,0.0
1679992172483,1172160838902964,0.528,6.3289504,9.771001,0.0,0.0,0.0
1679992172486,1172160841404811,0.56895,6.87195,9.541051,0.0,0.0,0.0
1679992172488,1172160843906349,0.56205004,6.7000504,9.175051,0.0,0.0,0.0
1679992172491,1172160846408195,0.49905002,7.8109503,9.501,0.0,0.0,0.0
1679992172495,1172160848909830,0.43695003,8.175,9.501,0.0,0.0,0.0
1679992172496,1172160851411599,0.042000003,8.78295,9.738001,0.0,0.0,0.0
1679992172499,1172160853913214,-0.13800001,9.52095,9.714001,0.0,0.0,0.0
1679992172501,1172160856414984,0.042000003,9.114,9.489,0.0,0.0,0.0
1679992172505,1172160858916599,0.03705,9.271951,9.252001,0.0,0.0,0.0
1679992172506,1172160861418402,-0.23805001,9.35595,9.529051,0.0,0.0,0.0
1679992172509,1172160863920248,0.52305,9.082951,9.073951,0.0,0.0,0.0
1679992172511,1172160866421864,0.44400004,8.805,8.88,0.0,0.0,0.0
1679992172513,1172160868923633,0.84705,8.61795,9.12195,0.0,0.0,0.0
1679992172519,1172160871425248,0.98505,8.007,8.622001,0.0,0.0,0.0
1679992172520,1172160873926787,1.48695,7.143,8.286,0.0,0.0,0.0
1679992172521,1172160876428633,1.2100501,7.6530004,8.154,0.0,0.0,0.0
1679992172523,1172160878930402,1.452,7.1790004,7.5510006,0.0,0.0,0.0
1679992172526,1172160881431941,1.5589501,6.9700503,6.9019504,0.0,0.0,0.0
1679992172529,1172160883933782,1.72695,7.1959505,6.8280005,0.0,0.0,0.0
1679992172533,1172160886435397,1.7530501,7.3390503,6.339,0.0,0.0,0.0
1679992172535,1172160888937166,1.6810501,6.60195,6.40605,0.0,0.0,0.0
1679992172536,1172160891438782,1.6500001,6.096,6.7939506,0.0,0.0,0.0
1679992172538,1172160893940599,1.72905,6.4170003,7.1850004,0.0,0.0,0.0
1679992172541,1172160896442368,1.8679501,6.7260003,7.2730503,0.0,0.0,0.0
1679992172544,1172160898943984,1.866,6.42705,7.5030003,0.0,0.0,0.0
1679992172546,1172160901445753,1.77495,5.95305,7.8820505,0.0,0.0,0.0
1679992172549,1172160903947368,1.59,6.1969504,8.05605,0.0,0.0,0.0
1679992172551,1172160906448912,1.5949501,6.6829505,7.9489503,0.0,0.0,0.0
1679992172553,1172160908950681,1.4299501,6.1870503,7.7479506,0.0,0.0,0.0
1679992172557,1172160911452527,1.317,5.6940002,8.029051,0.0,0.0,0.0
1679992172558,1172160913954373,1.011,6.0199504,8.302951,0.0,0.0,0.0
1679992172561,1172160916455902,0.49695003,6.6109505,8.187,0.0,0.0,0.0
1679992172565,1172160918957517,0.19005,6.43905,8.23095,0.0,0.0,0.0
1679992172572,1172160921459286,-0.028050002,6.453,8.3890505,0.0,0.0,0.0
1679992172572,1172160923960865,0.051000003,7.0470004,8.44005,0.0,0.0,0.0
1679992172573,1172160926462634,0.054,6.8220005,8.03505,0.0,0.0,0.0
1679992172574,1172160928964249,0.21705002,6.4240503,7.7160006,0.0,0.0,0.0
1679992172576,1172160931466096,-0.049050003,6.5340004,7.68795,0.0,0.0,0.0
1679992172578,1172160933967865,0.18300001,6.9820504,7.6489506,0.0,0.0,0.0
1679992172580,1172160936469465,0.45600003,7.0729504,7.5750003,0.0,0.0,0.0
1679992172583,1172160938971234,0.72,7.1980505,8.227051,0.0,0.0,0.0
1679992172586,1172160941472850,1.404,8.031,9.043051,0.0,0.0,0.0
1679992172588,1172160943974619,0.47805002,6.4360504,5.58195,0.0,0.0,0.0
1679992172591,1172160946476253,-0.054,5.91405,5.556,0.0,0.0,0.0
1679992172593,1172160948978023,0.63105005,5.4019504,6.6000004,0.0,0.0,0.0
1679992172596,1172160951479869,1.4080501,5.229,7.7359505,0.0,0.0,0.0
1679992172599,1172160953981407,2.12895,4.8630004,8.052,0.0,0.0,0.0
1679992172601,1172160956483028,2.7259502,4.77405,8.133,0.0,0.0,0.0
1679992172603,1172160958984797,2.9320502,4.6930504,8.113951,0.0,0.0,0.0
1679992172607,1172160961486643,2.8500001,4.7140503,8.05605,0.0,0.0,0.0
1679992172610,1172160963988182,2.7540002,4.9180503,7.8030005,0.0,0.0,0.0
1679992172611,1172160966489783,2.4550502,5.3299503,7.76205,0.0,0.0,0.0
1679992172614,1172160968991629,2.2399502,5.23395,7.7500505,0.0,0.0,0.0
1679992172618,1172160971493398,1.7200501,4.87995,7.9200006,0.0,0.0,0.0
1679992172619,1172160973995014,1.2859501,4.2450004,8.301001,0.0,0.0,0.0
1679992172621,1172160976496783,0.753,3.759,8.952001,0.0,0.0,0.0
1679992172623,1172160978998412,0.21900001,3.4980001,9.3,0.0,0.0,0.0
1679992172626,1172160981500182,0.12795001,3.38505,9.44295,0.0,0.0,0.0
1679992172628,1172160984001797,-0.231,3.1050003,9.44295,0.0,0.0,0.0
1679992172632,1172160986503643,-0.99300003,3.00705,9.558001,0.0,0.0,0.0
1679992172634,1172160989005412,-1.1389501,3.6319501,9.40005,0.0,0.0,0.0
1679992172637,1172160991506951,-0.966,4.2190504,9.06495,0.0,0.0,0.0
1679992172640,1172160994008566,-1.2589501,5.0020504,8.83005,0.0,0.0,0.0
1679992172642,1172160996510374,-1.3570501,5.5999503,8.404051,0.0,0.0,0.0
1679992172647,1172160999012221,-1.51005,5.7780004,8.62905,0.0,0.0,0.0
1679992172648,1172161001513836,-1.7209501,6.168,8.706,0.0,0.0,0.0
1679992172649,1172161004015605,-1.62495,6.1320004,8.92605,0.0,0.0,0.0
1679992172652,1172161006517221,-1.6489501,6.4789505,9.06705,0.0,0.0,0.0
1679992172654,1172161009018990,-1.5649501,6.7189503,9.184951,0.0,0.0,0.0
1679992172656,1172161011520528,-1.3279501,6.7759504,8.64795,0.0,0.0,0.0
1679992172658,1172161014022144,-1.3090501,6.7050004,8.734051,0.0,0.0,0.0
1679992172663,1172161016523975,-1.5679501,6.9919505,8.466001,0.0,0.0,0.0
1679992172664,1172161019025821,-1.4479501,7.0729504,8.286,0.0,0.0,0.0
1679992172665,1172161021527360,-1.2540001,6.97305,8.08005,0.0,0.0,0.0
1679992172669,1172161024029129,-1.3279501,6.7519503,7.7640004,0.0,0.0,0.0
1679992172672,1172161026530744,-1.011,6.5779505,7.8150005,0.0,0.0,0.0
1679992172674,1172161029032503,-1.011,6.7309504,7.9339504,0.0,0.0,0.0
1679992172677,1172161031534119,-0.85095006,6.69495,7.8859506,0.0,0.0,0.0
1679992172680,1172161034035888,-0.69600004,6.5850005,7.8840003,0.0,0.0,0.0
1679992172684,1172161036537734,-0.38700002,6.57,7.79505,0.0,0.0,0.0
1679992172685,1172161039039350,-0.11595,6.4480505,7.8100505,0.0,0.0,0.0
1679992172687,1172161041540888,0.049050003,6.35505,7.58895,0.0,0.0,0.0
1679992172689,1172161044042734,0.20505,6.3840003,7.0669503,0.0,0.0,0.0
1679992172691,1172161046544503,0.171,6.26595,6.46395,0.0,0.0,0.0
1679992172693,1172161049046119,0.31305,6.0220504,6.0019503,0.0,0.0,0.0
1679992172696,1172161051547662,0.46305,5.76795,5.676,0.0,0.0,0.0
1679992172698,1172161054049508,0.54,5.5530005,6.0490503,0.0,0.0,0.0
1679992172702,1172161056551278,0.78900003,5.4229503,6.60795,0.0,0.0,0.0
1679992172703,1172161059052893,1.1230501,5.5410004,7.5679502,0.0,0.0,0.0
1679992172706,1172161061554672,1.41795,5.7130504,8.073,0.0,0.0,0.0
1679992172708,1172161064056288,1.61205,5.7990003,8.31,0.0,0.0,0.0
1679992172713,1172161066558057,1.9660501,5.85405,8.47995,0.0,0.0,0.0
1679992172715,1172161069059672,2.3070002,5.7559505,8.37705,0.0,0.0,0.0
1679992172718,1172161071561518,2.32095,5.6670003,8.3869505,0.0,0.0,0.0
1679992172721,1172161074063288,2.2470002,5.4540005,8.373,0.0,0.0,0.0
1679992172724,1172161076564101,1.8970501,5.28,8.545051,0.0,0.0,0.0
1679992172724,1172161079064908,1.4299501,5.0059505,8.61495,0.0,0.0,0.0
1679992172726,1172161081568293,1.2240001,4.7140503,8.823,0.0,0.0,0.0
1679992172728,1172161084070062,0.91305006,4.4290504,8.904,0.0,0.0,0.0
1679992172732,1172161086571677,0.82305,4.116,8.943001,0.0,0.0,0.0
1679992172734,1172161089073216,0.68895006,4.3170004,9.028951,0.0,0.0,0.0
1679992172736,1172161091575081,0.45105,4.8289504,9.04605,0.0,0.0,0.0
1679992172738,1172161094076850,0.46800002,5.2000504,9.028951,0.0,0.0,0.0
1679992172741,1172161096578466,0.61905,5.2720504,8.97105,0.0,0.0,0.0
1679992172744,1172161099080235,0.74100006,5.47305,8.93805,0.0,0.0,0.0
1679992172746,1172161101582095,0.80100006,6.0150003,8.6980505,0.0,0.0,0.0
1679992172748,1172161104083710,0.77205,6.0600004,8.50905,0.0,0.0,0.0
1679992172752,1172161106585480,1.0200001,6.1780505,8.434951,0.0,0.0,0.0
1679992172754,1172161109087095,0.91695005,6.249,8.45205,0.0,0.0,0.0
1679992172758,1172161111588615,0.975,6.38805,8.29605,0.0,0.0,0.0
1679992172760,1172161114090384,0.88695,6.57495,8.236051,0.0,0.0,0.0
1679992172762,1172161116591999,0.54195005,6.54195,8.03505,0.0,0.0,0.0
1679992172764,1172161119093845,0.22395001,6.62295,8.18595,0.0,0.0,0.0
1679992172766,1172161121595615,0.11400001,6.6930003,8.097,0.0,0.0,0.0
1679992172768,1172161124097219,-0.054,6.73605,7.8510003,0.0,0.0,0.0
1679992172772,1172161126598988,-0.162,6.6540003,7.9939504,0.0,0.0,0.0
1679992172774,1172161129100604,-0.26505002,6.73995,8.24295,0.0,0.0,0.0
1679992172776,1172161131602373,-0.32895002,6.84105,8.398951,0.0,0.0,0.0
1679992172778,1172161134103988,-0.29295,6.906,8.6650505,0.0,0.0,0.0
1679992172782,1172161136605786,-0.022950001,6.5230503,8.928,0.0,0.0,0.0
1679992172785,1172161139107633,0.28605002,6.2089505,9.07005,0.0,0.0,0.0
1679992172786,1172161141609171,0.41295,5.99595,9.328051,0.0,0.0,0.0
1679992172788,1172161144111027,0.44895002,5.8780503,9.481951,0.0,0.0,0.0
1679992172792,1172161146612643,0.624,5.979,9.307051,0.0,0.0,0.0
1679992172795,1172161149114412,0.97305006,5.8879504,9.237,0.0,0.0,0.0
1679992172797,1172161151615950,1.2019501,5.9929504,8.99295,0.0,0.0,0.0
1679992172799,1172161154117566,1.248,5.5360503,8.81805,0.0,0.0,0.0
1679992172802,1172161156619412,0.86100006,5.5789504,8.47995,0.0,0.0,0.0
1679992172804,1172161159121181,0.68895006,5.4420004,7.9849505,0.0,0.0,0.0
1679992172806,1172161161622796,0.384,5.6119504,7.3500004,0.0,0.0,0.0
1679992172808,1172161164124566,0.39195,5.42805,7.0410004,0.0,0.0,0.0
1679992172812,1172161166626176,0.171,5.3029504,6.6990004,0.0,0.0,0.0
1679992172813,1172161169127945,0.31500003,5.21505,6.91905,0.0,0.0,0.0
1679992172816,1172161171629561,0.15195,5.23605,7.1340003,0.0,0.0,0.0
1679992172818,1172161174131330,0.25995,5.0350504,7.2450004,0.0,0.0,0.0
1679992172822,1172161176633162,-0.22905001,4.95405,7.1940002,0.0,0.0,0.0
1679992172824,1172161179134701,-0.74595004,4.8559504,7.3039503,0.0,0.0,0.0
1679992172825,1172161181636547,-1.23705,4.9729505,7.06995,0.0,0.0,0.0
1679992172828,1172161184138162,-1.3780501,5.0809503,6.9259505,0.0,0.0,0.0
1679992172835,1172161186639921,-1.6060501,5.23395,6.7390504,0.0,0.0,0.0
1679992172836,1172161189141460,-1.8210001,5.3149505,6.64305,0.0,0.0,0.0
1679992172838,1172161191643075,-2.02005,5.5600505,6.5599504,0.0,0.0,0.0
1679992172840,1172161194144921,-1.932,5.58795,6.4900503,0.0,0.0,0.0
1679992172843,1172161196646691,-2.16405,5.2320004,6.40605,0.0,0.0,0.0
1679992172845,1172161199148239,-1.7400001,5.64795,6.7249503,0.0,0.0,0.0
1679992172847,1172161201649854,-1.6110001,5.517,7.077,0.0,0.0,0.0
1679992172849,1172161204151701,-1.26795,5.85405,7.1610003,0.0,0.0,0.0
1679992172852,1172161206653547,-0.90900004,5.964,7.4050503,0.0,0.0,0.0
1679992172855,1172161209155085,-0.58605003,6.08895,7.48605,0.0,0.0,0.0
1679992172856,1172161211656845,-0.11595,6.1249504,7.5799503,0.0,0.0,0.0
1679992172859,1172161214158460,0.04695,6.0480003,7.8030005,0.0,0.0,0.0
1679992172862,1172161216660229,0.39900002,6.0720005,7.8289504,0.0,0.0,0.0
1679992172864,1172161219161845,0.25500003,6.29505,7.8580503,0.0,0.0,0.0
1679992172866,1172161221663614,0.363,6.1200004,7.6540504,0.0,0.0,0.0
1679992172870,1172161224165460,0.22200002,6.16305,7.5100503,0.0,0.0,0.0
1679992172873,1172161226667075,0.21195,5.9929504,7.4430003,0.0,0.0,0.0
1679992172874,1172161229168845,0.28905,5.859,7.4119506,0.0,0.0,0.0
1679992172877,1172161231670455,0.26895002,5.682,7.3759503,0.0,0.0,0.0
1679992172879,1172161234172224,0.28605002,5.48295,7.2660003,0.0,0.0,0.0
1679992172882,1172161236673763,-0.42495003,5.13105,5.74305,0.0,0.0,0.0
1679992172884,1172161239175378,-0.07095,5.10195,6.4609504,0.0,0.0,0.0
1679992172886,1172161241677147,0.20700002,5.1480002,7.4790006,0.0,0.0,0.0
1679992172889,1172161244178955,0.13095,5.00895,8.401051,0.0,0.0,0.0
1679992172892,1172161246680571,0.51600003,4.9030504,9.313951,0.0,0.0,0.0
1679992172894,1172161249182340,0.34800002,4.6090503,9.774,0.0,0.0,0.0
1679992172897,1172161251683955,0.15,4.2070503,10.0990505,0.0,0.0,0.0
1679992172899,1172161254185744,0.058950003,4.06995,9.89295,0.0,0.0,0.0
1679992172902,1172161256687359,-0.29295,3.9840002,9.438001,0.0,0.0,0.0
1679992172904,1172161259189128,-0.36,4.2330003,9.369,0.0,0.0,0.0
1679992172908,1172161261690974,-0.58605003,4.8439503,9.06,0.0,0.0,0.0
1679992172909,1172161264192590,-0.669,5.2440004,8.78895,0.0,0.0,0.0
